id,bert_sentence,t5_sentence,target,label
2997,From upright to upside-down presentation: A spatio-temporal ERP study of the parametric effect of rotation on face and house processing,From upright to upside-down presentation: A spatio-temporal ERP study of the parametric effect of rotation on face and house processing,not funny,0
546,Does degree of baldness influence vitamin D status?,Does degree of baldness influence vitamin D status?,funny,1
1758,"Littoral epilithon of lentic water bodies at Hope Bay, Antarctic Peninsula: biomass variables in relation to environmental conditions","Littoral epilithon of lentic water bodies at Hope Bay, Antarctic Peninsula: biomass variables in relation to environmental conditions",not funny,0
1468,Severe Infestation of a She-Ass with the Cat Flea Ctenocephalides felis felis (Bouche 1835),Severe Infestation of a She-Ass with the Cat Flea Ctenocephalides felis felis (Bouche 1835),funny,1
515,The History of Freckles in Art,The History of Freckles in Art,funny,1
2975,Neuropsychology Review 20092015,Neuropsychology Review 20092015,not funny,0
1524,"The Relationship between Familial Resemblance and Sexual Attraction: An Update on Westermarck, Freud, and the Incest Taboo","The Relationship between Familial Resemblance and Sexual Attraction: An Update on Westermarck, Freud, and the Incest Taboo",funny,1
3341,Long-term loss of dopamine release mediated by CRF-1 receptors in the rat lateral septum after repeated cocaine administration,Long-term loss of dopamine release mediated by CRF-1 receptors in the rat lateral septum after repeated cocaine administration,not funny,0
1924,Shape and efficiency of wood ant foraging networks,Shape and efficiency of wood ant foraging networks,not funny,0
1638,Perception of Female Buttocks and Breast Size in Profile,Perception of Female Buttocks and Breast Size in Profile,funny,1
1701,Is Teaching Simple Surgical Skills Using an Operant Learning Program More Effective Than Teaching by Demonstration?,Is Teaching Simple Surgical Skills Using an Operant Learning Program More Effective Than Teaching by Demonstration?,funny,1
1232,Would you like a bite of my peanut butter sandwich?,Would you like a bite of my peanut butter sandwich?,funny,1
2866,Computational study of structural changes in neuronal networks during growth: a model of dissociated neocortical cultures,Computational study of structural changes in neuronal networks during growth: a model of dissociated neocortical cultures,not funny,0
309,Do nice guys--and gals--really finish last? The joint effects of sex and agreeableness on income.,Do nice guys--and gals--really finish last? The joint effects of sex and agreeableness on income.,funny,1
249,Beware of the flaming hairball--a brief review and warning.,Beware of the flaming hairball--a brief review and warning.,funny,1
1888,Development of a SCAR (sequence characterised amplified region) marker for molecular tagging of the dwarf BREIZH (Bzh) gene in Brassica napus L.,Development of a SCAR (sequence characterised amplified region) marker for molecular tagging of the dwarf BREIZH (Bzh) gene in Brassica napus L.,not funny,0
197,"Biological Transmutations and their applications in: Chemistry, Physics, Biology, Ecology, Medicine, Nutrition, Agronomy, Geology","Biological Transmutations and their applications in: Chemistry, Physics, Biology, Ecology, Medicine, Nutrition, Agronomy, Geology",funny,1
1991,Integrating business and software development models,Integrating business and software development models,not funny,0
2984,Food deprivation and emotional reactions to food cues: implications for eating disorders,Food deprivation and emotional reactions to food cues: implications for eating disorders,not funny,0
1052,Passage of feed through the adult rooster,Passage of feed through the adult rooster,funny,1
3072,The Synaptic Localization of NR2B-Containing NMDA Receptors Is Controlled by Interactions with PDZ Proteins and AP-2,The Synaptic Localization of NR2B-Containing NMDA Receptors Is Controlled by Interactions with PDZ Proteins and AP-2,not funny,0
669,The Dead Mule Rides Again,The Dead Mule Rides Again,funny,1
1465,Waiting for a Phone: Intrusion on Callers Leads to Territorial Defense,Waiting for a Phone: Intrusion on Callers Leads to Territorial Defense,funny,1
23,Demonstration of the Exponential Decay Law Using Beer Froth,Demonstration of the Exponential Decay Law Using Beer Froth,funny,1
1743,Keratinophilic fungi on sheep hairs from the West Bank of Jordan,Keratinophilic fungi on sheep hairs from the West Bank of Jordan,not funny,0
577,A new perspective on spontaneous blinks,A new perspective on spontaneous blinks,funny,1
1887,Fourier transform infrared-spectroscopic characterisation of isolated endodermal cell walls from plant roots: chemical nature in relation to anatomical development,Fourier transform infrared-spectroscopic characterisation of isolated endodermal cell walls from plant roots: chemical nature in relation to anatomical development,not funny,0
1094,Management of rectal foreign bodies.,Management of rectal foreign bodies.,funny,1
3083,Decoupling of BOLD amplitude and pattern classification of orientation-selective activity in human visual cortex,Decoupling of BOLD amplitude and pattern classification of orientation-selective activity in human visual cortex,not funny,0
2002,TBSs in some minimum coverings,TBSs in some minimum coverings,not funny,0
3312,In vivo magnetic resonance images reveal neuroanatomical sex differences through the application of voxel-based morphometry in C57BL/6 mice,In vivo magnetic resonance images reveal neuroanatomical sex differences through the application of voxel-based morphometry in C57BL/6 mice,not funny,0
1970,Cross-Entropy-Based Energy-Efficient Radio Resource Management in HetNets with Coordinated Multiple Points,Cross-Entropy-Based Energy-Efficient Radio Resource Management in HetNets with Coordinated Multiple Points,not funny,0
959,The knife cut which divides the ham into equal area portions,The knife cut which divides the ham into equal area portions,funny,1
1699,Blueberry Earth,Blueberry Earth,funny,1
2974,Life at Low Copy Number: How Dendrites Manage with So Few mRNAs,Life at Low Copy Number: How Dendrites Manage with So Few mRNAs,not funny,0
1172,Resource Security Impacts Men's Female Breast Size Preferences,Resource Security Impacts Men's Female Breast Size Preferences,funny,1
118,Blink-Free Photos Guaranteed,Blink-Free Photos Guaranteed,funny,1
1159,The Impact of Menstrual Cycle Phase on Economic Choice and Rationality,The Impact of Menstrual Cycle Phase on Economic Choice and Rationality,funny,1
2639,"Comment on Sanfélix-Genovés et al.: Prevalence of osteoporotic fracture risk factors and antiosteoporotic treatments in the Valencia region, Spain. The baseline characteristics of the ESOSVAL cohort","Comment on Sanfélix-Genovés et al.: Prevalence of osteoporotic fracture risk factors and antiosteoporotic treatments in the Valencia region, Spain. The baseline characteristics of the ESOSVAL cohort",not funny,0
2156,Signals from dying hepatocytes trigger growth of liver progenitors.,Signals from dying hepatocytes trigger growth of liver progenitors.,not funny,0
3222,First-Spike Latency in the Presence of Spontaneous Activity,First-Spike Latency in the Presence of Spontaneous Activity,not funny,0
3182,Itch and neuropathic itch.,Itch and neuropathic itch.,not funny,0
883,Breast displacement in three dimensions during the walking and running gait cycles.,Breast displacement in three dimensions during the walking and running gait cycles.,funny,1
1048,The Kardashian index: a measure of discrepant social media profile for scientists,The Kardashian index: a measure of discrepant social media profile for scientists,funny,1
547,Bat attack! : an unusual cause of keratouveitis.,Bat attack! : an unusual cause of keratouveitis.,funny,1
3249,Spoken Sentence Comprehension in Aphasia: Event-related Potential Evidence for a Lexical Integration Deficit,Spoken Sentence Comprehension in Aphasia: Event-related Potential Evidence for a Lexical Integration Deficit,not funny,0
1760,Group size but not dominance rank predicts the probability of conception in a frugivorous primate,Group size but not dominance rank predicts the probability of conception in a frugivorous primate,not funny,0
2523,Inferior vena cava bypass for the treatment of obliterative hepatocavopathy with five-year follow-up.,Inferior vena cava bypass for the treatment of obliterative hepatocavopathy with five-year follow-up.,not funny,0
2439,Management of hepatocellular carcinoma.,Management of hepatocellular carcinoma.,not funny,0
1224,The Influence of Bars on Nuclear Activity,The Influence of Bars on Nuclear Activity,funny,1
570,Predicting Smartphone Operating System from Personality and Individual Differences.,Predicting Smartphone Operating System from Personality and Individual Differences.,funny,1
1283,Reading the Entrails of Chickens: Molecular Timescales of Evolution and the Illusion of Precision,Reading the Entrails of Chickens: Molecular Timescales of Evolution and the Illusion of Precision,funny,1
2331,"Situation analysis for cervical cancer diagnosis and treatment in east, central and southern African countries.","Situation analysis for cervical cancer diagnosis and treatment in east, central and southern African countries.",not funny,0
686,How to get into bones: proton pump and carbonic anhydrase in Osedax boneworms.,How to get into bones: proton pump and carbonic anhydrase in Osedax boneworms.,funny,1
729,Serotonin and Aggressive Motivation in Crustaceans: Altering the Decision to Retreat,Serotonin and Aggressive Motivation in Crustaceans: Altering the Decision to Retreat,funny,1
1010,Investigating Use of Space of Pedestrians,Investigating Use of Space of Pedestrians,funny,1
2775,Dopamine neuron dependent behaviors mediated by glutamate cotransmission,Dopamine neuron dependent behaviors mediated by glutamate cotransmission,not funny,0
2802,"Efficient belief tracking in adults: The role of task instruction, low-level associative processes and dispositional social functioning","Efficient belief tracking in adults: The role of task instruction, low-level associative processes and dispositional social functioning",not funny,0
1427,Characteristics of the motor and genital copulatory responses of the male hamster.,Characteristics of the motor and genital copulatory responses of the male hamster.,funny,1
3226,Brain Activations During Correct and False Recognitions of Visual Stimuli: Implications for Eyewitness Decisions on an fMRI Study Using a Film Paradigm,Brain Activations During Correct and False Recognitions of Visual Stimuli: Implications for Eyewitness Decisions on an fMRI Study Using a Film Paradigm,not funny,0
1391,Pattern of nipple use by puppies: A comparison of the dingo (Canis dingo) and the domestic dog (Canis familiaris).,Pattern of nipple use by puppies: A comparison of the dingo (Canis dingo) and the domestic dog (Canis familiaris).,funny,1
1451,"Identification and quantification of flavor attributes present in chicken, lamb, pork, beef, and turkey.","Identification and quantification of flavor attributes present in chicken, lamb, pork, beef, and turkey.",funny,1
3278,Evaluating performance of neural codes in model neural communication networks,Evaluating performance of neural codes in model neural communication networks,not funny,0
486,Intimate relationships with Artificial Partners,Intimate relationships with Artificial Partners,funny,1
3414,Building Distributed Context-Aware Applications,Building Distributed Context-Aware Applications,not funny,0
2317,Down's syndrome and esophageal achalasia: a rare but important clinical entity,Down's syndrome and esophageal achalasia: a rare but important clinical entity,not funny,0
1574,Effect of weight load added to wrists on manual non-exploratory and exploratory behaviors in infants.,Effect of weight load added to wrists on manual non-exploratory and exploratory behaviors in infants.,funny,1
534,The Roller Discotheque: A Quickstep to the Hospital? An Analysis of 196 Accidents.,The Roller Discotheque: A Quickstep to the Hospital? An Analysis of 196 Accidents.,funny,1
776,Pizza and Vegetables Don't Stick to the Endothelium,Pizza and Vegetables Don't Stick to the Endothelium,funny,1
2617,Comparison of air tonometry with gastric tonometry using saline and other equilibrating fluids: an in vivo and in vitro study,Comparison of air tonometry with gastric tonometry using saline and other equilibrating fluids: an in vivo and in vitro study,not funny,0
1977,"Magnetic Anisotropy of Co-M-Pt ( ${\rm M}={\rm Cr}$, Mo, Ru, W, Re) Perpendicular Films Deposited on Various Seed Layer Materials","Magnetic Anisotropy of Co-M-Pt ( ${\rm M}={\rm Cr}$, Mo, Ru, W, Re) Perpendicular Films Deposited on Various Seed Layer Materials",not funny,0
3403,Characterization and expression analysis of SOMATIC EMBRYOGENESIS RECEPTOR KINASE (SERK) genes in sexual and apomictic Paspalum notatum,Characterization and expression analysis of SOMATIC EMBRYOGENESIS RECEPTOR KINASE (SERK) genes in sexual and apomictic Paspalum notatum,not funny,0
1578,The Palatability of Eggs and Birds: Mainly Based upon Observations of an Egg Panel.,The Palatability of Eggs and Birds: Mainly Based upon Observations of an Egg Panel.,funny,1
720,The gifts we keep on giving: documenting and destigmatizing the regifting taboo.,The gifts we keep on giving: documenting and destigmatizing the regifting taboo.,funny,1
1328,Alcohol consumption and handwriting: a kinematic analysis.,Alcohol consumption and handwriting: a kinematic analysis.,funny,1
2552,Retrospective study of technical aspects and complications of endoscopic submucosal dissection for laterally spreading tumors of the colorectum.,Retrospective study of technical aspects and complications of endoscopic submucosal dissection for laterally spreading tumors of the colorectum.,not funny,0
563,Do facial expressions develop before birth?,Do facial expressions develop before birth?,funny,1
93,On the Reception and Detection of Pseudo-Profound Bullshit,On the Reception and Detection of Pseudo-Profound Bullshit,funny,1
3323,Morphine Preconditioning Protects Against LPS-Induced Neuroinflammation and Memory Deficit,Morphine Preconditioning Protects Against LPS-Induced Neuroinflammation and Memory Deficit,not funny,0
945,Head and neck injury risks in heavy metal: head bangers stuck between rock and a hard bass,Head and neck injury risks in heavy metal: head bangers stuck between rock and a hard bass,funny,1
119,Fellatio by Fruit Bats Prolongs Copulation Time,Fellatio by Fruit Bats Prolongs Copulation Time,funny,1
1854,"Taxonomy of Oncaeidae (Copepoda, Poecilostomatoida) from the Red Sea. III. Morphology and phylogenetic position of Oncaea subtilis Giesbrecht, 1892","Taxonomy of Oncaeidae (Copepoda, Poecilostomatoida) from the Red Sea. III. Morphology and phylogenetic position of Oncaea subtilis Giesbrecht, 1892",not funny,0
900,chlear development: hair cells don their wigs and get wired,chlear development: hair cells don their wigs and get wired,funny,1
1364,"Gossip, Humor, and the Art of Becoming an Intimate of Jesus","Gossip, Humor, and the Art of Becoming an Intimate of Jesus",funny,1
3349,"RNA of nerve cell bodies and axons after β,β-iminodipropionitrile","RNA of nerve cell bodies and axons after β,β-iminodipropionitrile",not funny,0
649,Are snakes right-handed ? Asymmetry in hemipenis size and usage in gartersnakes (Thamnophis sirtalis),Are snakes right-handed ? Asymmetry in hemipenis size and usage in gartersnakes (Thamnophis sirtalis),funny,1
1455,Perversion in the Twenty-First Century: From the Holocaust to the Karaoke Bar.,Perversion in the Twenty-First Century: From the Holocaust to the Karaoke Bar.,funny,1
644,A Story about a Stupid Person Can Make You Act Stupid (or Smart): Behavioral Assimilation (and Contrast) as Narrative Impact,A Story about a Stupid Person Can Make You Act Stupid (or Smart): Behavioral Assimilation (and Contrast) as Narrative Impact,funny,1
2191,Antiretroviral treatment roll-out in a resource-constrained setting: capitalizing on nursing resources in Botswana.,Antiretroviral treatment roll-out in a resource-constrained setting: capitalizing on nursing resources in Botswana.,not funny,0
629,"Roaring and Numerical Assessment in Contests Between Groups of Female Lions, Panthera leo.","Roaring and Numerical Assessment in Contests Between Groups of Female Lions, Panthera leo.",funny,1
1238,The kangaroo's tail propels and powers pentapedal locomotion,The kangaroo's tail propels and powers pentapedal locomotion,funny,1
2289,"The Tzu Chi Silent Mentor Program: Application of Buddhist Ethics to Teach Student Physicians Empathy, Compassion, and Self-Sacrifice","The Tzu Chi Silent Mentor Program: Application of Buddhist Ethics to Teach Student Physicians Empathy, Compassion, and Self-Sacrifice",not funny,0
3399,Quantification of N-phenyl-2-naphthylamine by gas chromatography and isotope-dilution mass spectrometry and its percutaneous absorption ex vivo under workplace conditions,Quantification of N-phenyl-2-naphthylamine by gas chromatography and isotope-dilution mass spectrometry and its percutaneous absorption ex vivo under workplace conditions,not funny,0
2870,Combined grafts of the ventral tegmental area and nucleus accumbens in oculo. Histochemical and electrophysiological characterization,Combined grafts of the ventral tegmental area and nucleus accumbens in oculo. Histochemical and electrophysiological characterization,not funny,0
437,Exodus of Einstein's Special Theory in Seven Simple Steps,Exodus of Einstein's Special Theory in Seven Simple Steps,funny,1
2538,Anti-AnWj causing acute hemolytic transfusion reactions in a patient with aplastic anemia.,Anti-AnWj causing acute hemolytic transfusion reactions in a patient with aplastic anemia.,not funny,0
2655,Patient Outcomes With STEMI Caused by Aneurysmal Coronary Artery Disease and Treated With Primary PCI.,Patient Outcomes With STEMI Caused by Aneurysmal Coronary Artery Disease and Treated With Primary PCI.,not funny,0
868,Asset Pricing with Garbage,Asset Pricing with Garbage,funny,1
2298,Association between duodenal bulb ulceration and reduced exocrine pancreatic function.,Association between duodenal bulb ulceration and reduced exocrine pancreatic function.,not funny,0
46,Pacific and Atlantic herring produce burst pulse sounds.,Pacific and Atlantic herring produce burst pulse sounds.,funny,1
2460,"Clonal analysis of bilateral, recurrent, or systemically multifocal ocular adnexal lymphoma.","Clonal analysis of bilateral, recurrent, or systemically multifocal ocular adnexal lymphoma.",not funny,0
466,Taking Action on the Volume-Quality Relationship: How Long Can We Hide Our Heads in the Colostomy Bag?,Taking Action on the Volume-Quality Relationship: How Long Can We Hide Our Heads in the Colostomy Bag?,funny,1
2134,Adoptive immunotherapy with unselected or EBV-specific T cells for biopsy-proven EBV+ lymphomas after allogeneic hematopoietic cell transplantation.,Adoptive immunotherapy with unselected or EBV-specific T cells for biopsy-proven EBV+ lymphomas after allogeneic hematopoietic cell transplantation.,not funny,0
705,Blow as well as pull: an innovative technique for dealing with a rectal foreign body.,Blow as well as pull: an innovative technique for dealing with a rectal foreign body.,funny,1
1240,Mathematicians talk tough to new barbie,Mathematicians talk tough to new barbie,funny,1
2556,Are the clinical effects of homoeopathy placebo effects?,Are the clinical effects of homoeopathy placebo effects?,not funny,0
1555,"Copulatory vocalizations of chacma baboons (Papio ursinus), gibbons (Hylobates hoolock), and humans.","Copulatory vocalizations of chacma baboons (Papio ursinus), gibbons (Hylobates hoolock), and humans.",funny,1
3317,Illusory bending of a pursuit target,Illusory bending of a pursuit target,not funny,0
2605,Thalidomide for treatment of severe intestinal bleeding.,Thalidomide for treatment of severe intestinal bleeding.,not funny,0
2166,Administration of low-dose interleukin-2 plus G-CSF/EPO early after autologous PBSC transplantation: effects on immune recovery and NK activity in a prospective study in women with breast and ovarian cancer,Administration of low-dose interleukin-2 plus G-CSF/EPO early after autologous PBSC transplantation: effects on immune recovery and NK activity in a prospective study in women with breast and ovarian cancer,not funny,0
2089,Polarization oscillations in aerial fiber caused by wind and power-line current,Polarization oscillations in aerial fiber caused by wind and power-line current,not funny,0
1945,Wireless Power Transfer With Hybrid Beamforming: How Many RF Chains Do We Need?,Wireless Power Transfer With Hybrid Beamforming: How Many RF Chains Do We Need?,not funny,0
2425,"Left ventricular dysfunction, natriuretic peptides, and mortality in an urban population.","Left ventricular dysfunction, natriuretic peptides, and mortality in an urban population.",not funny,0
2190,Use of intravitreal bevacizumab injections to treat type 1 idiopathic macular telangiectasia,Use of intravitreal bevacizumab injections to treat type 1 idiopathic macular telangiectasia,not funny,0
3169,"Acute psychosocial stress in mid-aged male rats causes hyperthermia, cognitive decline and increased deep sleep power, but does not alter deep sleep duration","Acute psychosocial stress in mid-aged male rats causes hyperthermia, cognitive decline and increased deep sleep power, but does not alter deep sleep duration",not funny,0
1015,A Mathematical Model for the Dynamics and Synchronization of Cows,A Mathematical Model for the Dynamics and Synchronization of Cows,funny,1
2405,Oesophageal stricture and dysphagia after endoscopic sclerotherapy for bleeding varices.,Oesophageal stricture and dysphagia after endoscopic sclerotherapy for bleeding varices.,not funny,0
193,"Interim Report: Results of the National Demonstration Project to Reduce Violent Crime and Improve Governmental Effectiveness In Washington, D.C","Interim Report: Results of the National Demonstration Project to Reduce Violent Crime and Improve Governmental Effectiveness In Washington, D.C",funny,1
2838,Lentivirus-mediated overexpression of OTULIN ameliorates microglia activation and neuroinflammation by depressing the activation of the NF-κB signaling pathway in cerebral ischemia/reperfusion rats,Lentivirus-mediated overexpression of OTULIN ameliorates microglia activation and neuroinflammation by depressing the activation of the NF-κB signaling pathway in cerebral ischemia/reperfusion rats,not funny,0
1522,How the Brain Responds to the Destruction of Money.,How the Brain Responds to the Destruction of Money.,funny,1
1404,"Heavy Metal Contamination Cause of Idol Immersion Activities in Urban Lake Bhopal, India","Heavy Metal Contamination Cause of Idol Immersion Activities in Urban Lake Bhopal, India",funny,1
403,Sonic Boom Effects on Sleep: A Field Experiment on Military and Civilian Populations.,Sonic Boom Effects on Sleep: A Field Experiment on Military and Civilian Populations.,funny,1
135,Righting a Wrong: Retaliation on a Voodoo Doll Symbolizing an Abusive Supervisor Restores Justice,Righting a Wrong: Retaliation on a Voodoo Doll Symbolizing an Abusive Supervisor Restores Justice,funny,1
2674,Sex differences in neurological and psychiatric disorders,Sex differences in neurological and psychiatric disorders,not funny,0
1378,"Float, Explode or Sink: Postmortem Fate of Lung-breathing Marine Vertebrates","Float, Explode or Sink: Postmortem Fate of Lung-breathing Marine Vertebrates",funny,1
3256,Neuregulin-1 attenuates cognitive function impairments in a transgenic mouse model of Alzheimer's disease,Neuregulin-1 attenuates cognitive function impairments in a transgenic mouse model of Alzheimer's disease,not funny,0
671,Increase of Sudden Cardiac Deaths in Switzerland during the 2002 FIFA World Cup.,Increase of Sudden Cardiac Deaths in Switzerland during the 2002 FIFA World Cup.,funny,1
291,The hidden menace of non-equine horses.,The hidden menace of non-equine horses.,funny,1
2532,Biventricular pacing decreases sympathetic activity compared with right ventricular pacing in patients with depressed ejection fraction.,Biventricular pacing decreases sympathetic activity compared with right ventricular pacing in patients with depressed ejection fraction.,not funny,0
296,Early evidence for travel with infectious diseases along the Silk Road: Intestinal parasites from 2000 year-old personal hygiene sticks in a latrine at Xuanquanzhi Relay Station in China,Early evidence for travel with infectious diseases along the Silk Road: Intestinal parasites from 2000 year-old personal hygiene sticks in a latrine at Xuanquanzhi Relay Station in China,funny,1
2402,Tumor promotion by citrus oils: tumors of the skin and urethral orifice in mice.,Tumor promotion by citrus oils: tumors of the skin and urethral orifice in mice.,not funny,0
2143,Management of ventricular arrhythmias: a trial-based approach.,Management of ventricular arrhythmias: a trial-based approach.,not funny,0
636,Successful Insemination Experiments with Cryopreserved Sperm from Wild Boars.,Successful Insemination Experiments with Cryopreserved Sperm from Wild Boars.,funny,1
2678,Measuring the useful field of view during simulated driving with gaze-contingent displays,Measuring the useful field of view during simulated driving with gaze-contingent displays,not funny,0
1710,"Seasonally Consistent Small Home Range and Long Ranging Distance in Presbytis rubicunda in Danum Valley, Borneo","Seasonally Consistent Small Home Range and Long Ranging Distance in Presbytis rubicunda in Danum Valley, Borneo",not funny,0
875,Sport Fan Identification in Obituaries.,Sport Fan Identification in Obituaries.,funny,1
2591,The EURO-NOTES clinical registry for natural orifice transluminal endoscopic surgery: a 2-year activity report,The EURO-NOTES clinical registry for natural orifice transluminal endoscopic surgery: a 2-year activity report,not funny,0
2691,Cerebrovascular pathogenesis in the telencephalon of the loop-tail mouse: A transmission electron-microscopic study,Cerebrovascular pathogenesis in the telencephalon of the loop-tail mouse: A transmission electron-microscopic study,not funny,0
3049,Repetitive transcranial magnetic stimulation regulates L-type Ca channel activity inhibited by early sevoflurane exposure,Repetitive transcranial magnetic stimulation regulates L-type Ca channel activity inhibited by early sevoflurane exposure,not funny,0
1993,Effects of Quantization of Time-of-Flight (TOF) Measurements on Image Signal-to-Noise Ratio in TOF Emission Tomography,Effects of Quantization of Time-of-Flight (TOF) Measurements on Image Signal-to-Noise Ratio in TOF Emission Tomography,not funny,0
915,Deconstructing Anti-harm-reduction Metaphors: Mortality Risk from Falls and Other Traumatic Injuries Compared to Smokeless Tobacco Use.,Deconstructing Anti-harm-reduction Metaphors: Mortality Risk from Falls and Other Traumatic Injuries Compared to Smokeless Tobacco Use.,funny,1
2777,The heritability of the skin conductance orienting response: A longitudinal twin study,The heritability of the skin conductance orienting response: A longitudinal twin study,not funny,0
2983,Different slopes for different folks: alpha and delta EEG power predict subsequent video game learning rate and improvements in cognitive control tasks.,Different slopes for different folks: alpha and delta EEG power predict subsequent video game learning rate and improvements in cognitive control tasks.,not funny,0
2807,The subiculum to entorhinal cortex projection is capable of sustaining both short- and long-term plastic changes,The subiculum to entorhinal cortex projection is capable of sustaining both short- and long-term plastic changes,not funny,0
2235,Occurrence ofCandida strains in cases of paronychia,Occurrence ofCandida strains in cases of paronychia,not funny,0
2015,Safety Research of the 68 kA Trial-HTS Current Lead for ITER,Safety Research of the 68 kA Trial-HTS Current Lead for ITER,not funny,0
622,The Vegetarian Who Ate a Sausage with Curry Sauce,The Vegetarian Who Ate a Sausage with Curry Sauce,funny,1
483,The Edibility of Birds.,The Edibility of Birds.,funny,1
2220,Grossesse après cancer du sein,Grossesse après cancer du sein,not funny,0
2820,The effects of inverting prisms on the horizontalvertical illusion: a systematic effect of downward gaze,The effects of inverting prisms on the horizontalvertical illusion: a systematic effect of downward gaze,not funny,0
1643,Hydrodyne Exploding Meat Tenderness.,Hydrodyne Exploding Meat Tenderness.,funny,1
11,Humans Running in Place on Water at Simulated Reduced Gravity,Humans Running in Place on Water at Simulated Reduced Gravity,funny,1
2518,"The main sceneries of Chagas disease transmission. The vectors, blood and oral transmissions - A comprehensive review","The main sceneries of Chagas disease transmission. The vectors, blood and oral transmissions - A comprehensive review",not funny,0
687,Getting to the Root of Fine Motor Skill Performance in Dentistry: Brain Activity During Dental Tasks in a Virtual Reality Haptic Simulation,Getting to the Root of Fine Motor Skill Performance in Dentistry: Brain Activity During Dental Tasks in a Virtual Reality Haptic Simulation,funny,1
