id,bert_sentence,t5_sentence,target,label
2034,passed a homeless person asking for change,passed a homeless person asking for change,not funny,0
31,was surfing,was surfing,not funny,0
2669,found out I have a restraining order against me from my ex boyfriend,found out I have a restraining order against me from my ex boyfriend,not funny,0
1577,car was waiting for me to cross the street so I thought it would be funny to slowly limp across the street,car was waiting for me to cross the street so I thought it would be funny to slowly limp across the street,not funny,0
1023,"Now, if it's not rising, you may want to reposition your head!","Now, if it's not rising, you may want to reposition your head!",funny,1
3110,Whats that?,Whats that?,funny,1
2573,"Every time I stick it in, it slides right back out!","Every time I stick it in, it slides right back out!",funny,1
977,what part of our relationship makes you think you can go in there.,what part of our relationship makes you think you can go in there.,funny,1
3194,friend and I were filming football practice and talking about what guys on the team were attractive and who we would want to get it on with,friend and I were filming football practice and talking about what guys on the team were attractive and who we would want to get it on with,not funny,0
3778,"Wow, why do you only have one hand on there? Is it not big enough for both of them?","Wow, why do you only have one hand on there? Is it not big enough for both of them?",funny,1
1475,You sure you know where to put it in?,You sure you know where to put it in?,funny,1
2424,boyfriend wanted to show me a magic trick,boyfriend wanted to show me a magic trick,not funny,0
1098,"the subway, a little tipsy, I sat down next to a guy I thought was cute, hoping to enjoy some harmless flirting","the subway, a little tipsy, I sat down next to a guy I thought was cute, hoping to enjoy some harmless flirting",not funny,0
1489,"Shake it hard, that way it'll all come out","Shake it hard, that way it'll all come out",funny,1
352,ant bit my penis,ant bit my penis,not funny,0
1691,was playing Xbox live with my boyfriend,was playing Xbox live with my boyfriend,not funny,0
1139,"Now, a lot of you are doing it or have done it before, so you should have some idea of what you're doing.","Now, a lot of you are doing it or have done it before, so you should have some idea of what you're doing.",funny,1
2196,of the 4 stalls were occupied in the rest room,of the 4 stalls were occupied in the rest room,not funny,0
2066,"oops, I think my tailpipe just got stuffed.","oops, I think my tailpipe just got stuffed.",funny,1
638,"a hard rock concert, a bunch of guys accidentally knocked down a port-a-potty while moshing","a hard rock concert, a bunch of guys accidentally knocked down a port-a-potty while moshing",not funny,0
3564,"Yeah, sometimes I like to open her up and play with her.","Yeah, sometimes I like to open her up and play with her.",funny,1
496,was in a nightclub with my girlfriend when a beautiful woman looked at me in the most provocative way,was in a nightclub with my girlfriend when a beautiful woman looked at me in the most provocative way,not funny,0
1540,the first time my boyfriend slept over,the first time my boyfriend slept over,not funny,0
1519,was sitting on the bus next to a hot guy who was texting,was sitting on the bus next to a hot guy who was texting,not funny,0
347,had my boss and his family over for dinner,had my boss and his family over for dinner,not funny,0
635,"was making out with my boyfriend, when he suddenly stopped and looked at me","was making out with my boyfriend, when he suddenly stopped and looked at me",not funny,0
1116,got married,got married,not funny,0
45,"That's right, you can't stick it in if there's one in there already.","That's right, you can't stick it in if there's one in there already.",funny,1
3490,"Man, this is a lot harder then it looks, i can't do it.","Man, this is a lot harder then it looks, i can't do it.",funny,1
533,usually you have to jerk it a couple times before it does that,usually you have to jerk it a couple times before it does that,funny,1
841,called the number a guy had given me at a bar last night,called the number a guy had given me at a bar last night,not funny,0
682,...it was mostly oral.,...it was mostly oral.,funny,1
3077,Wanna taste my Fazoozle?,Wanna taste my Fazoozle?,funny,1
3632,Dammit it fell out.,Dammit it fell out.,funny,1
3068,daughter told my son that Santa is not real,daughter told my son that Santa is not real,not funny,0
33,I hate how he always puts it in at the wrong time.,I hate how he always puts it in at the wrong time.,funny,1
1,"was giving my boyfriend a blow job, he was twitching and moving around and saying oh yeah then he said take that bitch","was giving my boyfriend a blow job, he was twitching and moving around and saying oh yeah then he said take that bitch",not funny,0
3370,"I did a load of blacks last night, they were all in there...","I did a load of blacks last night, they were all in there...",funny,1
2543,Do you know how long it'd take me to suck in order to get a swallow full?,Do you know how long it'd take me to suck in order to get a swallow full?,funny,1
735,what are my chances of getting head 3 times?,what are my chances of getting head 3 times?,funny,1
817,It's too hard to eat off of them,It's too hard to eat off of them,funny,1
1448,was talking to my boyfriend on the phone,was talking to my boyfriend on the phone,not funny,0
3649,put your fingers in all the holes.,put your fingers in all the holes.,funny,1
3236,"in my room sleeping, my little brother deemed it necessary to come in and drop a book on my face","in my room sleeping, my little brother deemed it necessary to come in and drop a book on my face",not funny,0
3000,was volunteering at a zoo event for special needs kids,was volunteering at a zoo event for special needs kids,not funny,0
3180,got prostate examination for the first time,got prostate examination for the first time,not funny,0
2650,"I'm bleeding and it hurts, but I think we should just finish.","I'm bleeding and it hurts, but I think we should just finish.",funny,1
3887,"it's not even wet yet, and u wanna go faster?","it's not even wet yet, and u wanna go faster?",funny,1
882,"women came into my work and one was wearing a shirt with a rainbow that said, We are everywhere","women came into my work and one was wearing a shirt with a rainbow that said, We are everywhere",not funny,0
534,"four in the morning, I was asleep with my boyfriend beside me","four in the morning, I was asleep with my boyfriend beside me",not funny,0
531,wife and I watched a documentary film about a kid living with severe asthma,wife and I watched a documentary film about a kid living with severe asthma,not funny,0
1733,I'm so glad you made me come.,I'm so glad you made me come.,funny,1
758,was in the basement at my grandma's house,was in the basement at my grandma's house,not funny,0
70,my sister's and dad's birthday,my sister's and dad's birthday,not funny,0
224,planned to drop a water balloon on my visiting prankster brother from my new apartment's balcony,planned to drop a water balloon on my visiting prankster brother from my new apartment's balcony,not funny,0
2507,"it'll grow bigger, even if it might look weird at first, just let it grow.","it'll grow bigger, even if it might look weird at first, just let it grow.",funny,1
2643,AHHH! This one's a squirter! Somehow it sprayed into my ear too!! Grr now im gonna have smelly white crap all over my shirt all day. It's bad enough i'm already drenched in sweat.,AHHH! This one's a squirter! Somehow it sprayed into my ear too!! Grr now im gonna have smelly white crap all over my shirt all day. It's bad enough i'm already drenched in sweat.,funny,1
2452,"woke up with a hangover, a shaved head, and my period","woke up with a hangover, a shaved head, and my period",not funny,0
2464,Get your hand out of there! You're gonna stretch it out!,Get your hand out of there! You're gonna stretch it out!,funny,1
3282,"Hi, I need some caulk.","Hi, I need some caulk.",funny,1
1775,"Well yeah, big things are more fun.","Well yeah, big things are more fun.",funny,1
1761,If it went any deeper i probably would have thrown up all over it.,If it went any deeper i probably would have thrown up all over it.,funny,1
3948,You don't know what it's like to have these things hanging in your face all the time!,You don't know what it's like to have these things hanging in your face all the time!,funny,1
2447,"while at work, I got a call","while at work, I got a call",not funny,0
1979,crush was talking to me on Facebook,crush was talking to me on Facebook,not funny,0
3389,I was going to tell you not to blow your load too early.,I was going to tell you not to blow your load too early.,funny,1
1749,"girlfriend and I were watching TV, randomly she starts to undo my belt buckle, unzips my fly and then takes my pants off","girlfriend and I were watching TV, randomly she starts to undo my belt buckle, unzips my fly and then takes my pants off",not funny,0
3550,"was looking at my recommendations on Amazon, which included several vibrators","was looking at my recommendations on Amazon, which included several vibrators",not funny,0
1269,had the sudden urge to sneeze as I was wiping my ass,had the sudden urge to sneeze as I was wiping my ass,not funny,0
2720,More wood! You all need to get more wood!,More wood! You all need to get more wood!,funny,1
1644,got my first period,got my first period,not funny,0
3049,you look exhausted how many of those did you take?,you look exhausted how many of those did you take?,funny,1
1571,"suburban, white boyfriend of two years told me he wanted to tell me something serious","suburban, white boyfriend of two years told me he wanted to tell me something serious",not funny,0
117,Just put your hand down there and grab it,Just put your hand down there and grab it,funny,1
1670,"It was just so beautiful, and big, and perfect.","It was just so beautiful, and big, and perfect.",funny,1
989,It slides in so easily.,It slides in so easily.,funny,1
2049,It's going to be really hot and tight.,It's going to be really hot and tight.,funny,1
1364,mother and I got into a huge fight about me being a lesbian,mother and I got into a huge fight about me being a lesbian,not funny,0
3420,"slow down, i can't get it in the hole.","slow down, i can't get it in the hole.",funny,1
2359,I've never blown a giraffe before!,I've never blown a giraffe before!,funny,1
2172,"Wow! That's a deep, dark crack down there!","Wow! That's a deep, dark crack down there!",funny,1
1327,found out that by brother was selling pictures of me showering,found out that by brother was selling pictures of me showering,not funny,0
688,I wanna blow next!,I wanna blow next!,funny,1
2984,We almost had a problem. I didnt think the hole was big enough.,We almost had a problem. I didnt think the hole was big enough.,funny,1
3563,was at the mall with my boyfriend and 2 friends,was at the mall with my boyfriend and 2 friends,not funny,0
1246,friends and I spent hours on the Disney website playing in Pixie Hollow,friends and I spent hours on the Disney website playing in Pixie Hollow,not funny,0
3574,"Nope, it doesn't fit. Too big, ","Nope, it doesn't fit. Too big, ",funny,1
1509,when you get it open I know just the right way to squeeze it to get all the juice out,when you get it open I know just the right way to squeeze it to get all the juice out,funny,1
521,"was using a public bathroom when a woman backs in, pulls down her pants, and sits on my lap","was using a public bathroom when a woman backs in, pulls down her pants, and sits on my lap",not funny,0
1780,tried opening a can for the first time using a manual can opener,tried opening a can for the first time using a manual can opener,not funny,0
1423,was taking a bath and needed shampoo,was taking a bath and needed shampoo,not funny,0
965,Just stick it in already!,Just stick it in already!,funny,1
457,"found out that it is never, ever a good idea to put a band-aid of any kind on your penis, because eventually you will have to take it off","found out that it is never, ever a good idea to put a band-aid of any kind on your penis, because eventually you will have to take it off",not funny,0
3042,"was fooling around a bit with my girlfriend while cooking dinner when she said, Don't get too excited, I want to watch The Princess and the Frog tonight","was fooling around a bit with my girlfriend while cooking dinner when she said, Don't get too excited, I want to watch The Princess and the Frog tonight",not funny,0
2010,friend had to take my cat who has a tumor to be put down when I wasn't home since I couldn't bare to take him myself,friend had to take my cat who has a tumor to be put down when I wasn't home since I couldn't bare to take him myself,not funny,0
1087,Wow it's a tight fit to get in there hey?,Wow it's a tight fit to get in there hey?,funny,1
1005,woke up to find that my dog was missing,woke up to find that my dog was missing,not funny,0
1044,mom drove me to football practice,mom drove me to football practice,not funny,0
983,Normally there's a huge climax but for some reason it's not coming.,Normally there's a huge climax but for some reason it's not coming.,funny,1
2566,Will you two stop playing so dirty! You just keep wacking each other over and over. Obviously it's not doing anything.,Will you two stop playing so dirty! You just keep wacking each other over and over. Obviously it's not doing anything.,funny,1
2553,I've never done this hole before,I've never done this hole before,funny,1
1615,"favorite teacher walked into our history class and everyone started whistling, I decided to join in by screaming 'sexy'","favorite teacher walked into our history class and everyone started whistling, I decided to join in by screaming 'sexy'",not funny,0
3669,"was passing a building and saw a fat, ugly person inside","was passing a building and saw a fat, ugly person inside",not funny,0
1881,Wow these are the two hardest balls I've felt all day.,Wow these are the two hardest balls I've felt all day.,funny,1
192,"work, a woman came up to the counter and asked if we made sweet and sour chicken","work, a woman came up to the counter and asked if we made sweet and sour chicken",not funny,0
1397,hey is that a grande? I paid for a grande but it doesn't feel like a grande.,hey is that a grande? I paid for a grande but it doesn't feel like a grande.,funny,1
1283,friend said he'd give me 20 bucks if I would ask out the ugliest girl in school,friend said he'd give me 20 bucks if I would ask out the ugliest girl in school,not funny,0
3826,"dont worry, im being careful","dont worry, im being careful",funny,1
1916,laughed so hard my milk went out my nose in front of the boy I liked,laughed so hard my milk went out my nose in front of the boy I liked,not funny,0
3943,mom had a talk with me while my dad was out,mom had a talk with me while my dad was out,not funny,0
2872,was at a pond taking pictures with my new camera,was at a pond taking pictures with my new camera,not funny,0
2971, This thing is huge. There's no way I'm gonna fit all this in my mouth., This thing is huge. There's no way I'm gonna fit all this in my mouth.,funny,1
1073,"Mr. Jones how will you be giving the quiz to us, passing it out, written on the board?","Mr. Jones how will you be giving the quiz to us, passing it out, written on the board?",funny,1
2597,"in the shower, my roomates thought it would be really funny if they threw my cat in with me","in the shower, my roomates thought it would be really funny if they threw my cat in with me",not funny,0
1784,discovered that my fiance had tried to fake his own death because he thought it would be easier than confessing to the affair he was having,discovered that my fiance had tried to fake his own death because he thought it would be easier than confessing to the affair he was having,not funny,0
1457,Don't you think these buns are a little too big for this meat?,Don't you think these buns are a little too big for this meat?,funny,1
170,was going down on a girl,was going down on a girl,not funny,0
410,fell asleep in class,fell asleep in class,not funny,0
2847, Jaysus u ripped the shit outa that hole!, Jaysus u ripped the shit outa that hole!,funny,1
1449,wow you stretched me so good.,wow you stretched me so good.,funny,1
2193,"was straightening my hair when I heard this crunching, sizzling sound","was straightening my hair when I heard this crunching, sizzling sound",not funny,0
1548,"boyfriend handcuffed me to the bed, naked","boyfriend handcuffed me to the bed, naked",not funny,0
3371,was having sex with a girl I had just met,was having sex with a girl I had just met,not funny,0
3121,"I'm not putting that in my mouth, it's way too hot.","I'm not putting that in my mouth, it's way too hot.",funny,1
3747,came home to find a BMW partially blocking my driveway,came home to find a BMW partially blocking my driveway,not funny,0
3811,I opened my mouth too wide and it dribbled out.,I opened my mouth too wide and it dribbled out.,funny,1
2994,was at the Wild Animal Park,was at the Wild Animal Park,not funny,0
3840,boyfriend called me to break up with me,boyfriend called me to break up with me,not funny,0
1043,grrr.. my vibrator is broke,grrr.. my vibrator is broke,funny,1
3491,"You just get a little in your mouth, and be sure to blow really hard.","You just get a little in your mouth, and be sure to blow really hard.",funny,1
1652,"I got home, I went into my room to find a Bratz doll and a Ken doll laying naked, on top of each other on my bed","I got home, I went into my room to find a Bratz doll and a Ken doll laying naked, on top of each other on my bed",not funny,0
3140,"You poor thing, you plowed me twice and didn't get paid!","You poor thing, you plowed me twice and didn't get paid!",funny,1
3270,It won't come out!,It won't come out!,funny,1
1696,was lying in bed throwing a football in the air and catching it,was lying in bed throwing a football in the air and catching it,not funny,0
3033,"Okay you just gotta swallow it fast 'cuz if you let it sit too long in your mouth, it will be too creamy to swallow!","Okay you just gotta swallow it fast 'cuz if you let it sit too long in your mouth, it will be too creamy to swallow!",funny,1
569,"Okay, I need two large male parts!","Okay, I need two large male parts!",funny,1
3928,"I'm going to just close my eyes, lean back, and wait for you to finish.","I'm going to just close my eyes, lean back, and wait for you to finish.",funny,1
661,"I'm a little suprised, its not usually that quick.","I'm a little suprised, its not usually that quick.",funny,1
185,It's not coming fast enough.,It's not coming fast enough.,funny,1
775,reading some chemistry notes I came across the term solid water,reading some chemistry notes I came across the term solid water,not funny,0
526,attractive boss sat me down in the break room to say how much she appreciated how much work I've been doing despite being a temp,attractive boss sat me down in the break room to say how much she appreciated how much work I've been doing despite being a temp,not funny,0
453,was in the gas station and I saw this creepy lady staring at me and smiling,was in the gas station and I saw this creepy lady staring at me and smiling,not funny,0
2515,daughter used the kids potty chair on her own for the first time,daughter used the kids potty chair on her own for the first time,not funny,0
3268,"boyfriend informed me that in the event of a zombie apocalypse, he'd kill me before I got infected","boyfriend informed me that in the event of a zombie apocalypse, he'd kill me before I got infected",not funny,0
3512,We need at least 6 more inches before we can continue.,We need at least 6 more inches before we can continue.,funny,1
2456,Is it wide enough for you?,Is it wide enough for you?,funny,1
3327,"there used to be a bush there, but it's not there anymore.","there used to be a bush there, but it's not there anymore.",funny,1
85,was at a bar talking to a very attractive young woman,was at a bar talking to a very attractive young woman,not funny,0
3859,I still have the taste of nuts in my mouth!,I still have the taste of nuts in my mouth!,funny,1
3857,"boyfriend thought it would be romantic to pick me up, throw me over his shoulder and take me to the bedroom","boyfriend thought it would be romantic to pick me up, throw me over his shoulder and take me to the bedroom",not funny,0
2792,had some family over,had some family over,not funny,0
546,If it were just a little bigger we could all enjoy it!,If it were just a little bigger we could all enjoy it!,funny,1
1494,it's too thick. I just keep sucking and I'm getting dizzy from it.,it's too thick. I just keep sucking and I'm getting dizzy from it.,funny,1
3434,If you it pull it out of my mouth it'll come on my dress!,If you it pull it out of my mouth it'll come on my dress!,funny,1
1974,boyfriend who likes to get high was driving me insisting he wasn't currently high,boyfriend who likes to get high was driving me insisting he wasn't currently high,not funny,0
727,boyfriend came in my room dressed as Harry Potter and declared that he was going to put his basilisk into my chamber of secrets,boyfriend came in my room dressed as Harry Potter and declared that he was going to put his basilisk into my chamber of secrets,not funny,0
1414,"I don't know how it got so big and heavy, but it went in good!","I don't know how it got so big and heavy, but it went in good!",funny,1
1601,found out my girlfriend only gets aroused after watching Jersey Shore and will only have sex immediately after an episode,found out my girlfriend only gets aroused after watching Jersey Shore and will only have sex immediately after an episode,not funny,0
1955,Stop playing with it and eat it already!,Stop playing with it and eat it already!,funny,1
2865,remind me that I need a 12 inch piece of wood.,remind me that I need a 12 inch piece of wood.,funny,1
675,Just hurry up and shove it all in there!,Just hurry up and shove it all in there!,funny,1
3777,decided it would be pretty amusing to press the Like button on everyone's status on Facebook without reading them just to get on peoples' nerves,decided it would be pretty amusing to press the Like button on everyone's status on Facebook without reading them just to get on peoples' nerves,not funny,0
2258,asked my boyfriend what he was being for halloween,asked my boyfriend what he was being for halloween,not funny,0
2918,boyfriend told me in a very natural way that my mother is better at sex than me,boyfriend told me in a very natural way that my mother is better at sex than me,not funny,0
2592,was cashiering at Target when an old woman came into my checkout line,was cashiering at Target when an old woman came into my checkout line,not funny,0
3464,work I was looking for my lost wallet,work I was looking for my lost wallet,not funny,0
398,Is it gonna hurt?,Is it gonna hurt?,funny,1
2804,walked into my dorm to find my roommate hanging a voodoo doll of me on a noose,walked into my dorm to find my roommate hanging a voodoo doll of me on a noose,not funny,0
566,was watching an animal behavior movie,was watching an animal behavior movie,not funny,0
527,It won't go in! Either it's too big or the hole is too small!,It won't go in! Either it's too big or the hole is too small!,funny,1
1271,This gives your arm a workout!,This gives your arm a workout!,funny,1
720,I just squirted everywhere!,I just squirted everywhere!,funny,1
1220, omg I'm so wet!, omg I'm so wet!,funny,1
2162,"It's wide open for you, just the way you like it!","It's wide open for you, just the way you like it!",funny,1
562, it starts out soft but then gets hard and long and gives you a great ride., it starts out soft but then gets hard and long and gives you a great ride.,funny,1
3172,"That just kind of squirted out there, didn't it!","That just kind of squirted out there, didn't it!",funny,1
2932,sent the girl I like a Twinkie with a note saying Enjoy! You deserve it,sent the girl I like a Twinkie with a note saying Enjoy! You deserve it,not funny,0
528,"do it like I did it last night, knees on the floor.","do it like I did it last night, knees on the floor.",funny,1
917,Overboard,Overboard,funny,1
2074,"Whoa, I made it bigger!","Whoa, I made it bigger!",funny,1
3443,was helping my friend create an online dating profile,was helping my friend create an online dating profile,not funny,0
1042,boyfriend suggested we imagine each other as someone else when we had sex,boyfriend suggested we imagine each other as someone else when we had sex,not funny,0
1180,went bowling,went bowling,not funny,0
248,"went to the library to pick up Romeo and Juliet, for my English class","went to the library to pick up Romeo and Juliet, for my English class",not funny,0
463,"Dammit, it got stuck again!!","Dammit, it got stuck again!!",funny,1
1347,"It got bigger, it won't fit back there","It got bigger, it won't fit back there",funny,1
3720,"caught some perverts sitting in a car in front of my house, spying on my neighbors","caught some perverts sitting in a car in front of my house, spying on my neighbors",not funny,0
2319,thats the thickest I've ever seen it.,thats the thickest I've ever seen it.,funny,1
3241,telemarketer called for my dad,telemarketer called for my dad,not funny,0
2412,took my two-year-old daughter swimming,took my two-year-old daughter swimming,not funny,0
2038,It's hard to get it flowing but once you do it's really nice.,It's hard to get it flowing but once you do it's really nice.,funny,1
1412,parents hosted a party at our house,parents hosted a party at our house,not funny,0
2973,got a email from my boss,got a email from my boss,not funny,0
3212,i like licking that off first,i like licking that off first,funny,1
971,it was too soft. I couldn't do anything with it.,it was too soft. I couldn't do anything with it.,funny,1
1376,"No matter how hard I suck on this thing, it still won't come up.","No matter how hard I suck on this thing, it still won't come up.",funny,1
3294,was my high school graduation,was my high school graduation,not funny,0
465,asked my Swedish friend for some lines to impress this swedish girl I met at an expat party he took me to,asked my Swedish friend for some lines to impress this swedish girl I met at an expat party he took me to,not funny,0
2613,had my first blow job,had my first blow job,not funny,0
896,got a meat pie for lunch,got a meat pie for lunch,not funny,0
2404,if their toes didn't curl you didn't do it right,if their toes didn't curl you didn't do it right,funny,1
39,I just need to stuff something in my mouth to keep me satisfied.,I just need to stuff something in my mouth to keep me satisfied.,funny,1
3484,It's so wet down here.,It's so wet down here.,funny,1
2055,was in charge of throwing a party for my mom,was in charge of throwing a party for my mom,not funny,0
1009,mom had a baby shower,mom had a baby shower,not funny,0
1262,"boyfriend called me and I told him about the AnimeCon I'm attending, and that I wanted to go as Sailor Mars, he told me he had no idea what that was","boyfriend called me and I told him about the AnimeCon I'm attending, and that I wanted to go as Sailor Mars, he told me he had no idea what that was",not funny,0
1065,I wanted to take a picture but I made it too big.,I wanted to take a picture but I made it too big.,funny,1
3770,woke up with my girl laying next to me in bed,woke up with my girl laying next to me in bed,not funny,0
2188,yea I've been blowing all day and it just keeps on coming,yea I've been blowing all day and it just keeps on coming,funny,1
2572,How many BJ's do you need?!,How many BJ's do you need?!,funny,1
2801,Do I have to be here long?,Do I have to be here long?,funny,1
2088,was walking by a pond when I saw a small frog,was walking by a pond when I saw a small frog,not funny,0
3729,put your monster in here,put your monster in here,funny,1
2174,It got stuck in the crack!,It got stuck in the crack!,funny,1
2128,had a check-up with my dermatologist,had a check-up with my dermatologist,not funny,0
1928,Well...I yelled at her. Then I got her wet.,Well...I yelled at her. Then I got her wet.,funny,1
3218,I can't keep it in my mouth.,I can't keep it in my mouth.,funny,1
2244,"class I was chatting with my teacher, a really cool and stylish old black guy","class I was chatting with my teacher, a really cool and stylish old black guy",not funny,0
30,I don't want it to blow in my face.,I don't want it to blow in my face.,funny,1
530,was trying to convince my boyfriend that I am NOT a dumb blonde,was trying to convince my boyfriend that I am NOT a dumb blonde,not funny,0
1068,was hooking up with a guy I just met,was hooking up with a guy I just met,not funny,0
311,my music recital,my music recital,not funny,0
2752,I keep sucking but nothing will come out!,I keep sucking but nothing will come out!,funny,1
502,was at a party where I ate bowl of disgusting snacks because I didn't want to drink on an empty stomach,was at a party where I ate bowl of disgusting snacks because I didn't want to drink on an empty stomach,not funny,0
2480,"but I don't wanna bend over, I'm all sticky","but I don't wanna bend over, I'm all sticky",funny,1
253,went out for coffee with a guy I really like,went out for coffee with a guy I really like,not funny,0
3926,"Oh my God. I can't keep this up all night. It's too long and hard for me to do! And then I'm trying not to scream, and it's just making me more crazy!","Oh my God. I can't keep this up all night. It's too long and hard for me to do! And then I'm trying not to scream, and it's just making me more crazy!",funny,1
3655,"Oh come on!! If it's really tiny, we'll just ride it twice!","Oh come on!! If it's really tiny, we'll just ride it twice!",funny,1
3808,was having sex with a girl I really like for the first time,was having sex with a girl I really like for the first time,not funny,0
1351,was having sex with a girl when her parents decided to come home early,was having sex with a girl when her parents decided to come home early,not funny,0
2756,woke up next to my girlfriend,woke up next to my girlfriend,not funny,0
