sentence,label,idx
Demonstration of the Exponential Decay Law Using Beer Froth,1,23
Keratinophilic fungi on sheep hairs from the West Bank of Jordan,0,1743
A new perspective on spontaneous blinks,1,577
Fourier transform infrared-spectroscopic characterisation of isolated endodermal cell walls from plant roots: chemical nature in relation to anatomical development,0,1887
Management of rectal foreign bodies.,1,1094
Decoupling of BOLD amplitude and pattern classification of orientation-selective activity in human visual cortex,0,3083
TBSs in some minimum coverings,0,2002
In vivo magnetic resonance images reveal neuroanatomical sex differences through the application of voxel-based morphometry in C57BL/6 mice,0,3312
Cross-Entropy-Based Energy-Efficient Radio Resource Management in HetNets with Coordinated Multiple Points,0,1970
The knife cut which divides the ham into equal area portions,1,959
Blueberry Earth,1,1699
Life at Low Copy Number: How Dendrites Manage with So Few mRNAs,0,2974
Resource Security Impacts Men's Female Breast Size Preferences,1,1172
Blink-Free Photos Guaranteed,1,118
The Impact of Menstrual Cycle Phase on Economic Choice and Rationality,1,1159
"Comment on Sanfélix-Genovés et al.: Prevalence of osteoporotic fracture risk factors and antiosteoporotic treatments in the Valencia region, Spain. The baseline characteristics of the ESOSVAL cohort",0,2639
Signals from dying hepatocytes trigger growth of liver progenitors.,0,2156
First-Spike Latency in the Presence of Spontaneous Activity,0,3222
Itch and neuropathic itch.,0,3182
Breast displacement in three dimensions during the walking and running gait cycles.,1,883
The Kardashian index: a measure of discrepant social media profile for scientists,1,1048
Bat attack! : an unusual cause of keratouveitis.,1,547
Spoken Sentence Comprehension in Aphasia: Event-related Potential Evidence for a Lexical Integration Deficit,0,3249
Group size but not dominance rank predicts the probability of conception in a frugivorous primate,0,1760
Inferior vena cava bypass for the treatment of obliterative hepatocavopathy with five-year follow-up.,0,2523
Management of hepatocellular carcinoma.,0,2439
The Influence of Bars on Nuclear Activity,1,1224
Predicting Smartphone Operating System from Personality and Individual Differences.,1,570
Reading the Entrails of Chickens: Molecular Timescales of Evolution and the Illusion of Precision,1,1283
"Situation analysis for cervical cancer diagnosis and treatment in east, central and southern African countries.",0,2331
How to get into bones: proton pump and carbonic anhydrase in Osedax boneworms.,1,686
Serotonin and Aggressive Motivation in Crustaceans: Altering the Decision to Retreat,1,729
Investigating Use of Space of Pedestrians,1,1010
Dopamine neuron dependent behaviors mediated by glutamate cotransmission,0,2775
"Efficient belief tracking in adults: The role of task instruction, low-level associative processes and dispositional social functioning",0,2802
Characteristics of the motor and genital copulatory responses of the male hamster.,1,1427
Brain Activations During Correct and False Recognitions of Visual Stimuli: Implications for Eyewitness Decisions on an fMRI Study Using a Film Paradigm,0,3226
Pattern of nipple use by puppies: A comparison of the dingo (Canis dingo) and the domestic dog (Canis familiaris).,1,1391
"Identification and quantification of flavor attributes present in chicken, lamb, pork, beef, and turkey.",1,1451
Evaluating performance of neural codes in model neural communication networks,0,3278
Intimate relationships with Artificial Partners,1,486
Building Distributed Context-Aware Applications,0,3414
Down's syndrome and esophageal achalasia: a rare but important clinical entity,0,2317
Effect of weight load added to wrists on manual non-exploratory and exploratory behaviors in infants.,1,1574
The Roller Discotheque: A Quickstep to the Hospital? An Analysis of 196 Accidents.,1,534
Pizza and Vegetables Don't Stick to the Endothelium,1,776
Comparison of air tonometry with gastric tonometry using saline and other equilibrating fluids: an in vivo and in vitro study,0,2617
"Magnetic Anisotropy of Co-M-Pt ( ${\rm M}={\rm Cr}$, Mo, Ru, W, Re) Perpendicular Films Deposited on Various Seed Layer Materials",0,1977
Characterization and expression analysis of SOMATIC EMBRYOGENESIS RECEPTOR KINASE (SERK) genes in sexual and apomictic Paspalum notatum,0,3403
The Palatability of Eggs and Birds: Mainly Based upon Observations of an Egg Panel.,1,1578
The gifts we keep on giving: documenting and destigmatizing the regifting taboo.,1,720
Alcohol consumption and handwriting: a kinematic analysis.,1,1328
Retrospective study of technical aspects and complications of endoscopic submucosal dissection for laterally spreading tumors of the colorectum.,0,2552
Do facial expressions develop before birth?,1,563
On the Reception and Detection of Pseudo-Profound Bullshit,1,93
Morphine Preconditioning Protects Against LPS-Induced Neuroinflammation and Memory Deficit,0,3323
Head and neck injury risks in heavy metal: head bangers stuck between rock and a hard bass,1,945
Fellatio by Fruit Bats Prolongs Copulation Time,1,119
"Taxonomy of Oncaeidae (Copepoda, Poecilostomatoida) from the Red Sea. III. Morphology and phylogenetic position of Oncaea subtilis Giesbrecht, 1892",0,1854
chlear development: hair cells don their wigs and get wired,1,900
"Gossip, Humor, and the Art of Becoming an Intimate of Jesus",1,1364
"RNA of nerve cell bodies and axons after β,β-iminodipropionitrile",0,3349
Are snakes right-handed ? Asymmetry in hemipenis size and usage in gartersnakes (Thamnophis sirtalis),1,649
Perversion in the Twenty-First Century: From the Holocaust to the Karaoke Bar.,1,1455
A Story about a Stupid Person Can Make You Act Stupid (or Smart): Behavioral Assimilation (and Contrast) as Narrative Impact,1,644
Antiretroviral treatment roll-out in a resource-constrained setting: capitalizing on nursing resources in Botswana.,0,2191
"Roaring and Numerical Assessment in Contests Between Groups of Female Lions, Panthera leo.",1,629
The kangaroo's tail propels and powers pentapedal locomotion,1,1238
"The Tzu Chi Silent Mentor Program: Application of Buddhist Ethics to Teach Student Physicians Empathy, Compassion, and Self-Sacrifice",0,2289
Quantification of N-phenyl-2-naphthylamine by gas chromatography and isotope-dilution mass spectrometry and its percutaneous absorption ex vivo under workplace conditions,0,3399
Combined grafts of the ventral tegmental area and nucleus accumbens in oculo. Histochemical and electrophysiological characterization,0,2870
Exodus of Einstein's Special Theory in Seven Simple Steps,1,437
Anti-AnWj causing acute hemolytic transfusion reactions in a patient with aplastic anemia.,0,2538
Patient Outcomes With STEMI Caused by Aneurysmal Coronary Artery Disease and Treated With Primary PCI.,0,2655
Asset Pricing with Garbage,1,868
Association between duodenal bulb ulceration and reduced exocrine pancreatic function.,0,2298
Pacific and Atlantic herring produce burst pulse sounds.,1,46
"Clonal analysis of bilateral, recurrent, or systemically multifocal ocular adnexal lymphoma.",0,2460
Taking Action on the Volume-Quality Relationship: How Long Can We Hide Our Heads in the Colostomy Bag?,1,466
Adoptive immunotherapy with unselected or EBV-specific T cells for biopsy-proven EBV+ lymphomas after allogeneic hematopoietic cell transplantation.,0,2134
Blow as well as pull: an innovative technique for dealing with a rectal foreign body.,1,705
Mathematicians talk tough to new barbie,1,1240
Are the clinical effects of homoeopathy placebo effects?,0,2556
"Copulatory vocalizations of chacma baboons (Papio ursinus), gibbons (Hylobates hoolock), and humans.",1,1555
Illusory bending of a pursuit target,0,3317
Thalidomide for treatment of severe intestinal bleeding.,0,2605
Administration of low-dose interleukin-2 plus G-CSF/EPO early after autologous PBSC transplantation: effects on immune recovery and NK activity in a prospective study in women with breast and ovarian cancer,0,2166
Polarization oscillations in aerial fiber caused by wind and power-line current,0,2089
Wireless Power Transfer With Hybrid Beamforming: How Many RF Chains Do We Need?,0,1945
"Left ventricular dysfunction, natriuretic peptides, and mortality in an urban population.",0,2425
Use of intravitreal bevacizumab injections to treat type 1 idiopathic macular telangiectasia,0,2190
"Acute psychosocial stress in mid-aged male rats causes hyperthermia, cognitive decline and increased deep sleep power, but does not alter deep sleep duration",0,3169
A Mathematical Model for the Dynamics and Synchronization of Cows,1,1015
Oesophageal stricture and dysphagia after endoscopic sclerotherapy for bleeding varices.,0,2405
"Interim Report: Results of the National Demonstration Project to Reduce Violent Crime and Improve Governmental Effectiveness In Washington, D.C",1,193
Lentivirus-mediated overexpression of OTULIN ameliorates microglia activation and neuroinflammation by depressing the activation of the NF-κB signaling pathway in cerebral ischemia/reperfusion rats,0,2838
How the Brain Responds to the Destruction of Money.,1,1522
"Heavy Metal Contamination Cause of Idol Immersion Activities in Urban Lake Bhopal, India",1,1404
Sonic Boom Effects on Sleep: A Field Experiment on Military and Civilian Populations.,1,403
Righting a Wrong: Retaliation on a Voodoo Doll Symbolizing an Abusive Supervisor Restores Justice,1,135
Sex differences in neurological and psychiatric disorders,0,2674
"Float, Explode or Sink: Postmortem Fate of Lung-breathing Marine Vertebrates",1,1378
Neuregulin-1 attenuates cognitive function impairments in a transgenic mouse model of Alzheimer's disease,0,3256
Increase of Sudden Cardiac Deaths in Switzerland during the 2002 FIFA World Cup.,1,671
The hidden menace of non-equine horses.,1,291
Biventricular pacing decreases sympathetic activity compared with right ventricular pacing in patients with depressed ejection fraction.,0,2532
Early evidence for travel with infectious diseases along the Silk Road: Intestinal parasites from 2000 year-old personal hygiene sticks in a latrine at Xuanquanzhi Relay Station in China,1,296
Tumor promotion by citrus oils: tumors of the skin and urethral orifice in mice.,0,2402
Management of ventricular arrhythmias: a trial-based approach.,0,2143
Successful Insemination Experiments with Cryopreserved Sperm from Wild Boars.,1,636
Measuring the useful field of view during simulated driving with gaze-contingent displays,0,2678
"Seasonally Consistent Small Home Range and Long Ranging Distance in Presbytis rubicunda in Danum Valley, Borneo",0,1710
Sport Fan Identification in Obituaries.,1,875
The EURO-NOTES clinical registry for natural orifice transluminal endoscopic surgery: a 2-year activity report,0,2591
Cerebrovascular pathogenesis in the telencephalon of the loop-tail mouse: A transmission electron-microscopic study,0,2691
Repetitive transcranial magnetic stimulation regulates L-type Ca channel activity inhibited by early sevoflurane exposure,0,3049
Effects of Quantization of Time-of-Flight (TOF) Measurements on Image Signal-to-Noise Ratio in TOF Emission Tomography,0,1993
Deconstructing Anti-harm-reduction Metaphors: Mortality Risk from Falls and Other Traumatic Injuries Compared to Smokeless Tobacco Use.,1,915
The heritability of the skin conductance orienting response: A longitudinal twin study,0,2777
Different slopes for different folks: alpha and delta EEG power predict subsequent video game learning rate and improvements in cognitive control tasks.,0,2983
The subiculum to entorhinal cortex projection is capable of sustaining both short- and long-term plastic changes,0,2807
Occurrence ofCandida strains in cases of paronychia,0,2235
Safety Research of the 68 kA Trial-HTS Current Lead for ITER,0,2015
The Vegetarian Who Ate a Sausage with Curry Sauce,1,622
The Edibility of Birds.,1,483
Grossesse après cancer du sein,0,2220
The effects of inverting prisms on the horizontalvertical illusion: a systematic effect of downward gaze,0,2820
Hydrodyne Exploding Meat Tenderness.,1,1643
Humans Running in Place on Water at Simulated Reduced Gravity,1,11
"The main sceneries of Chagas disease transmission. The vectors, blood and oral transmissions - A comprehensive review",0,2518
Getting to the Root of Fine Motor Skill Performance in Dentistry: Brain Activity During Dental Tasks in a Virtual Reality Haptic Simulation,1,687
Autoantibodies to neuronal antigens in children with new-onset seizures classified according to the revised ILAE organization of seizures and epilepsies.,0,3315
Bust Size and Hitchhiking: A Field Study.,1,1096
Eye Fixations Indicate Men's Preference for Female Breasts or Buttocks,1,1140
Effects of P-fertilization and inoculation by two vesicular-arbuscular mycorrhizal fungi on growth and nodulation ofCalopogonium caeruleum,0,1837
Classical music and the teeth.,1,481
Free range chicken soup.,1,497
It is safe for us to go to heaven,1,1531
How to get a really bad x-ray report.,1,454
Fatty acid and volatile oil composition of different coriander (Coriandrum sativum) registered varieties cultivated in Turkey,0,1928
"I, zombie",1,749
"New microsatellite loci for the threatened eastern hog-nosed snake (Heterodon platirhinos) in Ontario, Canada",0,3410
A B-cell receptor-related gene signature predicts survival in mantle cell lymphoma: results from the Fondazione Italiana Linfomi MCL-0208 trial,0,2624
Peptidergic input to immunohistochemically-identified Renshaw cells,0,3343
Motor adaptation to a small force field superimposed on a large background force,0,2900
High-Efficiency Silicon-Embedded Coreless Coupled Inductors for Power Supply on Chip Applications,0,2058
Leaf spot of loquat (Eriobotrya japonica) caused by Pseudocercospora eriobotryae in Brazil,0,1895
Effects of the Selective Serotonin Reuptake Inhibitor Fluoxetine on Social Behaviors in Male and Female Prairie Voles (Microtus ochrogaster),1,827
The Role of Armadillos in the Movement of Archaeological Materials: An Experimental Approach,1,31
A multimodal brain imaging study of repetition suppression in the human visual cortex,0,2907
Introduction to the second special issue in commemoration of Olaf Breidbach,0,1881
"Chewing gum moderates multi-task induced shifts in stress, mood, and alertness. A re-examination",0,3316
Intractable Occipital Neuralgia Caused by an Entrapment in the Semispinalis Capitis,0,3291
"How Hello Kitty Commodifies the Cute, Cool, and Camp: ""Consumutopia"" Versus ""Control"" in Japan.",1,1573
Detection of posterior pelvic injuries in fractures of the pubic rami but only posterior fixation is not always enough,0,2521
Unsupervised kernel least mean square algorithm for solving ordinary differential equations,0,2699
Congenital Myasthenic Syndromes,0,2789
Adsorbents for extractive bioconversion applied to the acetone-butanol fermentation,0,2267
"Knowing Your Lines but Missing Your Cue: Rostral Prefrontal Lesions Impair Prospective Memory Cue Detection, but Not Action-intention Superiority",0,3120
An Analytical Method to Determine Small-Signal Model Parameters for Vertical-Cavity Surface Emitting Lasers,0,2067
Grundlagen und Praxis digitaler Foto- und Videodokumentation Teil 2,0,2569
Interspecies sexual behaviour between a male Japanese macaque and female sika deer.,1,939
"A rapid fMRI task battery for mapping of visual, motor, cognitive, and emotional function",0,3218
The Effects of Discotheque Dancing on Selected Physiological and Psychological Parameters of College Students.,1,639
Nail Growth. Thirty-Five Years of Observation.,1,1607
Preferable use of intravitreal bevacizumab as a pretreatment of vitrectomy for severe proliferative diabetic retinopathy,0,2359
Reach-to-grasp movement as a minimization process,0,3334
Bad Popcorn in Big Buckets: Portion Size Can Influence Intake as Much as Taste.,1,984
Overreactive brain responses to sensory stimuli in youth with autism spectrum disorders.,0,3160
Transport Capacity Analysis of Wireless In-Band Full Duplex Ad Hoc Networks,0,2086
Green Eggs and Ham.,1,683
Attractiveness and relationship longevity: Beauty is not what it is cracked up to be,1,1474
Prospective Adventures in Accounting Ideas,1,253
Stereopsis with persisting and dynamic textures,0,2717
Pancreaticobiliary Maljunctions in European Patients with Bile Duct Cysts,0,2256
Post-mortem inference of the human hippocampal connectivity and microstructure using ultra-high field diffusion MRI at 11.7 T,0,2723
Anesthesia for Electroconvulsive Therapy: Time for a Review?,0,3393
"Pelagic fish distribution and ontogenetic vertical migration in common mesopelagic species off Lützow-Holm Bay (Indian Ocean sector, Southern Ocean) during austral summer",0,1846
Identification of the characteristics that drive consumer liking of butter.,1,941
The uses of hopelessness,1,1506
On performance evaluation of hybrid decode-amplify-forward relaying protocol with partial relay selection in underlay cognitive networks,0,2005
Novel Types of Frontotemporal Lobar Degeneration: Beyond Tau and TDP-43,0,3274
Which feels heavier - a pound of lead or a pound of feathers?,1,219
Aortic stiffness is an independent predictor of progression to hypertension in nonhypertensive subjects.,0,2640
Acute administration of cocaine reduces metabotropic glutamate receptor 8 protein expression in the rat striatum in vivo,0,2919
Design of Prunable Interleavers for Parallel Turbo Decoder Architectures,0,2110
"Bach, but not heavy metal is good for heart patients",1,464
Meta-analysis of associations between tumor necrosis factor-α polymorphisms and schizophrenia susceptibility,0,3156
Remarks around 50 lines of Matlab: short finite element implementation,0,2034
SARS-a clue to its origins?,1,1152
Punk Rocker's Lung: Pulmonary Fibrosis in a Drug Snorting Fire-Eater.,1,600
Laparoscopic versus open surgical management of small bowel obstruction: an analysis of short-term outcomes,0,2230
Aesthetic Value of Paintings Affects Pain Thresholds,1,5
Efficient callus induction and plant regeneration from anther of Chinese narcissus (Narcissus tazetta L. var. chinensis Roem),0,1722
Understanding the genetic basis of potato development using a multi-trait QTL analysis,0,1781
Humor and death: a qualitative study of The New Yorker cartoons (1986-2006),1,1591
Frictional Coefficient under Banana Skin,1,16
The Color Red and the Anger of Cattle,1,1450
"Cunnilingus apparently increases duration of copulation in the Indian flying fox, Pteropus giganteus.",1,901
Designing and Testing an Improved Packaging for Large Hollow Chocolate Bunnies.,1,554
Practice parameter for the assessment and treatment of children and adolescents with schizophrenia.,0,3313
Functionally relevant responses to human facial expressions of emotion in the domestic horse (Equus caballus),1,1247
New Observations on Body Organ Language.,1,353
Batman to the rescue! The protective effects of parasocial relationships with muscular superheroes on men's body image,1,307
Resource Allocation for OFDMA Cognitive Radios Under Channel Uncertainty,0,2055
The effect of humor on memory: constrained by the pun.,1,1285
What marketers can learn from lap-dancers: A field study of ovulatory cycle effects on consumer behavior,1,1697
The Ratio of 2nd to 4th Digit Length: A New Predictor of Disease Predisposition?,1,312
Presidential laugh lines. Candidate display behavior and audience laughter in the 2008 primary debates.,1,896
Late thromboembolic complication from a Palmaz stent in the common iliac artery,0,2224
Race Differences in Selection of Cheese Color.,1,490
Effects of Milking Frequency on Lying Down and Getting Up Behaviour of Dairy Cows.,1,1570
"GC/MS based identification of skunk spray maliciously deployed as ""biological weapon"" to harm civilians.",1,717
Parachuting for Charity: Is It Worth the Money? A 5-Year Audit of Parachute Injuries in Tayside and the Cost to the NHS,1,1245
The Foods From Hell: Food Colouring,1,869
The dark side of going abroad: How broad foreign experiences increase immoral behavior.,1,1433
Arboreal Sprint Failure: Lizardfall in a California Oak Woodland.,1,544
BAIAP2 exhibits association to childhood ADHD especially predominantly inattentive subtype in Chinese Han subjects,0,3299
Diagnostic flexible fiberoptic pleuroscopy in suspected malignant pleural effusions.,0,2280
Dose response of the 16p11.2 distal copy number variant on intracranial volume and basal ganglia,0,2735
Developments in coffee biotechnologyin vitro plant propagation and crop improvement,0,1790
Food Habits of Peg-leg Coyotes,1,789
Selective perturbation of visual input during prehension movements,0,2858
An unidentified monster in the bed--assessing nocturnal asthma in children,1,299
On the Psychological Response to Unknown Proper Names.,1,1297
Does Posting Facebook Status Updates Increase or Decrease Loneliness? An Online Social Networking Experiment.,1,1581
Co-administration of Creatine Plus Pyruvate Prevents the Effects of Phenylalanine Administration to Female Rats During Pregnancy and Lactation on Enzymes Activity of Energy Metabolism in Cerebral Cortex and Hippocampus of the Offspring,0,2679
Pelvic lipomatosis in the Proteus syndrome: a further diagnostic sign,0,2246
Polarization dependent loss in polymeric rib channel waveguide,0,2000
The correlates of subjective perception of identity and expression in the face network: An fMRI adaptation study,0,3345
The Treatment by Marmite of Megalocytic Hyperchromic Anemia: Occurring in Idiopathic Steatorrhoea (Coeliac Disease),1,400
Age-related changes in rhythmically bursting activity in the medial septum of rats,0,3331
Deceptive-like behaviour in dogs (Canis familiaris),1,826
"Mapping cortical change in Alzheimer's disease, brain development, and schizophrenia",0,3041
Digital free-space photonic switch structure using exciton absorption reflection switch (EARS) arrays,0,2050
Attention and performance in miniature golf across the life span.,1,539
"Differences in Finger Length Ratios Between Self-identified ""Butch"" and ""Femme"" Lesbians",1,277
"Ammonia, Like K+, Stimulates the Na+, K+, 2 Cl Cotransporter NKCC1 and the Na+,K+-ATPase and Interacts with Endogenous Ouabain in Astrocytes",0,3281
Number of floral organs in Circaeaster agrestis (Circaeasteraceae) and possible homeosis among floral organs,0,1838
Increased Phosphorylation of Extracellular Signal-Regulated Kinase in the Medial Prefrontal Cortex of the Single-Prolonged Stress Rats,0,3091
Bilateral deficit and symmetry in finger force production during two-hand multifinger tasks,0,2839
Tibolone Prevents Oxidation and Ameliorates Cholinergic Deficit Induced by Ozone Exposure in the Male Rat Hippocampus,0,3376
Detection of interspecific and intraspecific variation in Panicum millets through random amplified polymorphic DNA,0,1716
Self-assessment quiz,0,2319
Is a Sigh 'Just a Sigh'? Sighs as Emotional Signals and Responses to a Difficult Task,1,149
How are Distances Between Individuals of Grazing Cows Explained by a Statistical Model?,1,1006
Severe burns from inflammable cowboy pants,1,1413
Spatio-temporal analysis of monofractal and multifractal properties of the human sleep EEG,0,3112
Wearable Circularly Polarized Antenna for Personal Satellite Communication and Navigation,0,2040
The Myth of Comfort Food,1,728
Ursodeoxycholic acid as a chemopreventive agent in patients with ulcerative colitis and primary sclerosing cholangitis,0,2152
Digit Ratio (2D:4D) and Wearing of Wedding Rings,1,1613
"Contemporary Knowledge of Dye Plant Species and Natural Dye Use in Kurdish Autonomous Region, Iraq",0,1879
The response of the Great Reed Warbler Acrocephalus arundinaceus to climate change,0,1856
Collective Motion of Humans in Mosh and Circle Pits at Heavy Metal Concerts,1,305
Cognitive Adaptation under Stress: A Case for the Mineralocorticoid Receptor,0,3347
Generalized Ham-Sandwich Cuts.,1,726
Speed of Predator and Prey,1,702
The Treatment of Pernicious Aaemia by Marmite,1,1358
Disrupted modular brain dynamics reflect cognitive dysfunction in Alzheimer's disease,0,3179
Bees in Court: History of the Celebrated Case of Peach Utter versus Bee-Keeper Utter.,1,264
The Identification and Perception of Bottled Water,1,1520
Optimierung der differenzialdiagnostischen Strategie bei Patienten mit sekundären Uveitisformen mit einem computergestützten System,0,2206
Food Crushing Sounds: An Introductory Study.,1,453
Role of the inflammasome in inflammatory responses and subsequent injury after hepatic ischemia-reperfusion injury.,0,2285
Hydrocortisone Treatment of Early SIRS in Acute Experimental Pancreatitis,0,2234
Caloric restriction in young rats disturbs hippocampal neurogenesis and spatial learning,0,3089
The medical home: health care access and impact for children and youth in the United States.,0,2449
Valsalva Retinopathy Associated with Vigorous Dancing in a Discotheque.,1,1267
Blood money: Bayer's inventory of HIV-contaminated blood products and third world hemophiliacs.,1,1674
"Impact of Ganesh Idol Immersion Activities on the Water Quality of Tapi River, Surat (Gujarat) India",1,419
An unusual penpal: case report and literature review of posterior urethral injuries secondary to foreign body insertion,1,936
Evidence for a graft-versus-mast-cell effect after allogeneic bone marrow transplantation,0,2495
Site of reentry in paroxysmal supraventricular tachycardia in man.,0,2507
Mortality salience of birthdays on day of death in the Major Leagues,1,1288
Evaluation of structural contributors in myopic eyes of preterm and full-term children,0,3076
Ice lubrication for moving heavy stones to the Forbidden City in 15th- and 16th-century China.,1,576
The case of the slandered Halloween cupcake: Survival after massive pediatric procainamide overdose,1,1350
Increased levels of acidic calponin during dendritic spine plasticity after pilocarpine-induced seizures.,0,3152
A New Approach to Analysis and Modeling of Esophageal Manometry Data in Humans,0,1951
"The science of style: in fashion, colors should match only moderately.",1,1488
Pink Flamingos: Splendor on the Grass,1,189
"Dissing oneself versus dissing rivals: Effects of status, personality, and sex on the short-term and long-term attractiveness of self-deprecating and other-deprecating humor",1,1687
"Frankly, We Do Give a Damn: The Relationship Between Profanity and Honesty",1,891
The neocortex of cetaceans: cytoarchitecture and comparison with other aquatic and terrestrial species.,0,2741
A computational model of posterior parietal circuits during decision making and sequential planning,0,3195
Mood and the Menstrual Cycle: A Review of Prospective Data Studies,1,794
Laughing rats are optimistic.,1,518
The parasite that wasn't,1,899
Cystic fibrosis: transition from paediatric to adult care.,0,2197
"Empathy, schizophrenia and violence: A systematic review",0,2875
Prey subsidy or predator cue? Direct and indirect effects of caged predators on aquatic consumers and resources,0,1766
Association between dorsolateral prefrontal N-acetyl aspartate and depression in chronic back pain: an in vivo proton magnetic resonance spectroscopy study,0,3190
A Woodpecker Hammer.,1,317
Psychopathy and the Detection of Faking on Self-Report Inventories of Personality,1,1377
Building Rome on a Cloudless Day (ECCV 2010),1,1039
Taboo Words and Reprimands Elicit Greater Autonomic Reactivity in a First Language than in a Second Language,1,235
Medial temporal and prefrontal function: Recent behavioural disconnection studies in the macaque monkey,0,2956
External morphology of the leaf-tying larva and pupa of the Neotropical micromoth Eccopsis razowskii (Lepidoptera: Tortricidae),0,1714
The Fourteenth-century Tring Tiles: A Fresh Look at Their Origins and the Hebraic Aspects of the Child Jesus,1,1437
Sensitivity of some strains of the genus Epidermophyton to different antifungal agents,0,1828
irst report of Panicum mosaic virus in buffalo grass (Stenotaphrum secundatum) from Australia,0,3400
A Comparison of the Effects of Added Saliva Alpha-Amylase and Water on Texture Perception in Semi-Solids.,1,980
Praying-Induced Oromandibular Dystonia.,1,1556
Elements of Draping,1,157
Gorbachev! Has the Real Antichrist Come?,1,196
Caval Valve Implantation for Treatment of Severe Tricuspid Regurgitation.,0,2578
What isfor Dinner? First Report of Human Blood in the Diet of the Hairy-Legged Vampire Bat Diphylla ecaudata,1,125
3-dimensional buttocks response to sitting: a case report.,1,906
Jesus and the Ideal of the Manly Man in New Zealand after World War One,1,1256
Effects of age on cognitive control during semantic categorization,0,3271
Developmental alterations in serotoninergic neurotransmission in Borna disease virus (BDV)-infected rats: A multidisciplinary analysis,0,2706
Surface-Potential Solution for Generic Undoped MOSFETs With Two Gates,0,2006
Slot Machine Gamblers: Why Are They So Hard to Study?,1,484
"Glaciers, gender, and science: A feminist glaciology framework for global environmental change research",1,1698
