sentence,label,idx
"woman came to my counter and ordered 12 donuts, I said OK sure, a dozen donuts",0,228
was with my mom and my boyfriend at lunch,0,229
boyfriend said he wants a Hello Kitty wedding,0,230
was typing up a love letter on my computer,0,231
fianc̩'s parents visited,0,232
"running on the treadmill at the gym, the girl next to me slipped and went flying back against the wall",0,233
walked into the kitchen and accidentally broke my mother's vase,0,234
house got broken into,0,235
I caught my daughter attempting to stick pencils up our cat's butt,0,236
"boyfriend of 17 months, the first guy to tell me he loves me, the guy I lost my virginity to, the only guy whose parents I've met, told me we should stop 'hooking up' because it's weird that I was telling everyone we were a couple and it was ruining his chances of finding a girlfriend",0,237
walked in on my husband in our room completely naked,0,238
shadowed an ultrasound technician for my future career,0,239
"walked in on my boyfriend saying, I shall be the prince, and you shall be the princess, to his hamster",0,240
boyfriend decided he hates my male best friend because they have 'conflicting interests,0,241
"asleep, I dropped my pill before I could take it",0,242
"ask a boy I really liked to my school's turnabout dance, I gave him a box full of 10 cupcakes that spelled out T-U-R-N-A-B-O-U-T-?",0,243
5 year old son and I went out,0,244
"the shower, a dime fell on my foot",0,245
was shopping at a supermarket,0,246
had to sleep in the same room as my grandparents,0,247
got on an elevator with a woman and her child,0,248
slept over at my friend's house but forgot my glasses,0,249
was taking a bath and out of boredom started making sheep noises,0,250
flew to see my long distance boyfriend who I haven't seen in 6 months,0,251
"a hard rock concert, a bunch of guys accidentally knocked down a port-a-potty while moshing",0,252
"showering, my 3 year old son comes to the bathroom and puts on all my makeup",0,253
was fooling around with my girlfriend for the first time,0,254
texted my boyfriend to see if he wanted to finally have sex today,0,255
was quietly having a bath when I felt something fall onto my shoulder blade,0,256
boyfriend and I were about to have sex,0,257
"was watching this TV show where a man was describing how much he loved this woman, how he made every opportunity to see her, and how he loved her in a way nobody else could",0,258
"was casually looking through my girlfriend's phone while she got ready, though she made me promise not to",0,259
got very drunk after being fired from my job,0,260
"socialising after a church service, I discovered I'm still referred to as Fireshit's brother, after an incident a year ago which involved my sister screaming, The devil is coming out of my anus! from the lavatory",0,261
doctor told me to buy some KY Jelly and a dildo to help loosen me up so sex isn't so painful,0,262
posted a status update on Facebook about how much I liked the Season Finale of NBC's Heroes,0,263
went into my older brother's room to get a condom,0,264
realized that our generation will be remembered as the kids who liked sparkly vampires,0,265
daughter told my son that Santa is not real,0,266
"shopping in the store I bought the Retro Sport Tee, I didn't notice you are suppose to put your own on the shirt",0,267
my boyfriends birthday,0,268
"saw a homeless man on the corner, I thought I would be generous and give him some cash",0,269
boyfriend of 4 years proposed to me,0,270
had my high school reunion,0,271
was playing one on one soccer with a girl like,0,272
boyfriend decided to come over and surprise me,0,273
"walking in the mall, I had two people race past me in wheelchairs",0,274
"saw my super creepy live-in uncle standing in the kitchen holding a pair of my underwear and smiling at it, humming to himself",0,275
boyfriend returned from a 2 month internship in New York,0,276
"was my wedding day, and while I was standing next to my husband in front of all of our guests, I was rocking on my heels because I was nervous",0,277
"suburban, white boyfriend of two years told me he wanted to tell me something serious",0,278
was taking a shower when my boyfriend suddenly hopped in with me,0,279
"got sent to detention for saying, that's what she said after a girl in my class said, push a little harder while disecting a frog",0,280
"on my honeymoon with my new wife, I tried to be romantic by installing a clapper to the lights in our room",0,281
was making out with my boyfriend,0,282
"the wee hours of the morning I decided to make a naked dash to the bathroom, unfortunately, my dad decided to do the same thing at the exact same time",0,283
was texting my trainer to rearrange our training session,0,284
"to my boyfriend about each others families, we noticed we both had an aunt with the same name",0,285
"was having sex with my wife when my 14 year old daughter from her room texts me, Stop",0,286
asked my boyfriend while he was eating potato chips if he wanted to eat me,0,287
was laying in bed naked and blindfolded,0,288
met my girlfriend's very religious parents for dinner,0,289
was volunteering at a nursing home calling bingo numbers,0,290
"daughter asked me what the youngest age you should start having sex is, being a good mother I said that she shouldn't have sex until after she's been married",0,291
parents asked me if I had a nice time with my girlfriend at the amusement park I took her to yesterday,0,292
had a wrestling match,0,293
went to a party and the cops came to bust the party,0,294
"was sitting at my college campus, there were good looking girls all around me and I was trying to catch their eye and smile, letting them know I'm available",0,295
girlfriend broke up with me because of my dad constantly hitting on her,0,296
"eating dinner with my family, I found out my boyfriend recorded me screaming while having sex with him on my phone, and set it as my ring tone on high volume",0,297
spent the whole day seeing how many licks it would take to get to the center of a Tootsie Roll Pop: 763,0,298
realized that I'll have to explain to my child that mommy and daddy met on World of Warcraft,0,299
found out that my 43 year old wife has been having a cyber relationship with a 14 year old kid on Halo,0,300
was sifting through my parents old home movies,0,301
had my first kiss standing in front of my front door,0,302
woke up finding myself violently humping my pillow,0,303
walked in on my boyfriend of 5 years getting intimate with my best friend,0,304
cousin told me that the stop signs outlined with a white line were optional,0,305
boyfriend and I had sex for the first time,0,306
tried to break up with my boyfriend,0,307
"class, I was sitting next to the guy that I fancy",0,308
was walking by a pond when I saw a small frog,0,309
"man dressed as Santa Claus walked by me, grabbing my butt",0,310
found out my blood type is B,0,311
"was making out with this guy, and I ask him if he wants to take my bra off",0,312
"Burger King, I was leaning against the railing looking at the menu",0,313
mother and I got into a huge fight about me being a lesbian,0,314
was cashier at work,0,315
"woke up to a hand rubbing my very erect penis, and a woman's peppermint breath in my ear",0,316
was at a 21st birthday party,0,317
was at a sandwich shop and couldn't help but secretly remove a loose hair from a girl standing in front of me,0,318
dentist sneezed in my mouth,0,319
found a box of birthday candles sitting on the coffee table,0,320
was having sex with my boyfriend,0,321
whole family was sitting in the kitchen,0,322
was masturbating in the dark with the door open,0,323
had to pretend to give birth in a play,0,324
"mother, my aunt, and my two sisters are all on their periods",0,325
"was driving down the road at about 10pm, when the passenger in the car in front of me threw something out the window",0,326
brother and I were going to give our parents their anniversary gift which cost us over $3000,0,327
"6 year old son learned that if you give a mouse a cookie, he will ask for a glass of milk",0,328
was at the mall with my boyfriend and 2 friends,0,329
got a meat pie for lunch,0,330
"driving to the store, an idiot driver found it to be okay to drive ridiculously fast in below freezing temperatures on the ice and snow",0,331
noticed I have to lift up my fat to see my penis,0,332
thought it would be funny to bother my friend Emily,0,333
"boyfriend informed me that in the event of a zombie apocalypse, he'd kill me before I got infected",0,334
"boyfriend said that we needed to talk, he then told me that he cheated on me with my brother several times, but that it was a mistake, he is in fact not gay, just experimenting, and that we should still stay together",0,335
got my brother a pet hamster because he has trouble making friends,0,336
was flirting via text with a coworker,0,337
"thought it would be funny to sneak up behind my cat and scare it with a loud boo! The cat responded by jumping up, and running across my apartment, which would have been fine, except for the fact she left a trail of liquid shit everywhere she went",0,338
asked my boyfriend to try and man up and act a bit tougher,0,339
was telling my mother about my earrings hurting my ears,0,340
was so lonely that I had a 3 hour conversation with a one-legged cricket I found in my room,0,341
was called by my 9 year old son's teacher,0,342
wore the new bathing suit my boyfriend got me for my birthday to a family reunion pool party,0,343
mom told my boyfriend all about how she had to be a parent volunteer when I was in kindergarten,0,344
was at the movies with my mom and dad and the preview to my My Sisters Keeper came on,0,345
was helping an old man find a pair of shoes,0,346
spending the night hanging out with a beautiful girl we start to walk back to my place,0,347
was out eating lunch with my parents when my mom complained that I eat too quickly and don't thoroughly chew my food,0,348
meant to express to my friends that I was enamored with a young saleswoman I had encountered at a store,0,349
daughter had just left for a date with her boyfriend,0,350
"boyfriend was coming over so I bought this sexy corset, some fishnets, silettos and see-through thong",0,351
woman drove through my house,0,352
asked my boyfriend of almost ten months who his top five women to have it off with would be,0,353
grandmother told me to say sofa king retarded really fast,0,354
mom had my girlfriend and I over,0,355
celebrated my 21st birthday,0,356
was getting a pedicure and the woman sitting next to me asked the lady if she could take the skin she had scraped off my feet home to her birds because they love skin,0,357
"my school, the student council is trying to raise $5000 for Haiti",0,358
"found out that I was adopted, now my gay brother thinks it's acceptable to tell me that he's always wanted to have sex with me",0,359
went into a haunted house,0,360
boyfriend and I were having sex,0,361
tripped on a step that said Watch your step,0,362
rented a copy How To Train Your Dragon for my young son to watch,0,363
family and I were at a restaurant,0,364
adorable five and a half year old boy told me that when he grows up he's going to be my boyfriend,0,365
sent out my monthly curriculum list to the parents of the kids in my math class so they can see what their children will be learning,0,366
met my roommate for the first time,0,367
asked my girl friend of a year and a half to give me a blow job,0,368
was at the mall shoplifting when a girl who looked my age pointed to a shirt I had in my bag,0,369
thought I saw a woodchuck far out in my yard,0,370
was shaving off my beard for the first time in a very long time,0,371
got very dressed up and was excited for my uncle's wedding,0,372
"giving a brief presentation at work, I blanked out on what I was going to say",0,373
son told his teacher that she has a nice rack,0,374
got up the nerve to text the girl I've had a crush on to ask her on a date,0,375
boyfriend and I were playing around,0,376
"was walking through Borders with my girlfriend, when we pass a girl scout cookies stand",0,377
daughter walked in on me taking a shower,0,378
"I was substitute teaching a middle school class, a boy, named Chris, refused to get in the boy's line for the bathroom",0,379
realized my friends and I should be more careful what we say around my younger brother,0,380
was having cybersex via webcam with my boyfriend,0,381
"boyfriend and I took a late night drive, and after a while he stopped at a gas station and asked if I wanted anything I replied guess",0,382
"the church service was over, my two year old granddaughter started to sing into the microphone",0,383
found my long lost diary and curiously read it,0,384
realized what my mom has been calling me for 20 years,0,385
decided to surprise my boyfriend at his college and when I walked into the dorm he was lying in his bed with another girl,0,386
boyfriend admitted that he'd like to dress me in a squirrel suit and chase me through the forest,0,387
was filling out paperwork with my new doctor,0,388
girlfriend of 2 years and I decided to have sex for the first time,0,389
"left a party after drinking, and was soon pulled over",0,390
"an Aunt's wake, my five year old son walked up to the coffin, and, with the whole family around him, exclaimed, Well that's good, I was wondering where she's been",0,391
was on the phone with a prospective blind date,0,392
was ambushed by a very angry beaver,0,393
got hit in the mouth with a hockey stick and lost four teeth,0,394
my first meeting with business partners as I am new to the team,0,395
went to use the public restroom,0,396
mother and I went to Wal-Mart to buy pads,0,397
"was in a tour group going through a cave and our guide stopped, turned off the lights, and told us to be quiet so we could feel absolute silence",0,398
"boyfriend called, asking, before I could even talk, to bring a condom- NOW",0,399
was in a public washroom and I had to take a dump,0,400
was packing my son's lunch and we ran out of water bottles,0,401
woke up screaming,0,402
was at my boyfriend's house while his plumbing was being redone,0,403
friend was pulled over and told to get out of the car,0,404
"slept in late and when I woke up, thought I was the only one in the house so I decided to walk around the corner to the only upstairs bathroom naked",0,405
"boyfriend of over a year looked at me and said, Sometimes I just want to hit you",0,406
got pulled over while dancing to crazy techno beats in the car,0,407
girlfriend of 8 years dumped me,0,408
tried for the first time putting a condom on my boyfriend using my mouth,0,409
was coaching a little league soccer game,0,410
was in a public restroom taking a dump,0,411
I was waiting to take a dump in a gas station restroom,0,412
9 year old nephew found his way onto my iTunes,0,413
the dinner table my parents were talking to my younger sister about her new boyfriend and how they should be taking it slow,0,414
driving home from work an old homeless man stepped out on front of my car,0,415
saw a lesbian couple walking through the mall,0,416
boyfriend and I decided to have sex at his house,0,417
daughter got engaged,0,418
boyfriend confessed his desire to have sex while I'm on my period,0,419
turned on my camera to find pictures of my dad's secretary giving him a blowjob,0,420
was leaving to go over to a friend's and my parents suddenly ask if I'm gay,0,421
was spacing out in French class and randomly got an erection,0,422
was going on a first date with a girl I really like,0,423
got prostate examination for the first time,0,424
"finally told my parents I would be changing bedrooms because I could no longer stand hearing them having sex, which is awkward and disturbing",0,425
was at the dentist getting a cavity filled,0,426
"friend sent me a bumper sticker that said, Do you know that gullible said slowly sounds like 'green bears'? I spent quite a few minutes trying to get gullible to sound like green bears until I realized that it didn't",0,427
mother sent a letter to my best friend trying to comfort her over the death of her mother,0,428
went to get a sports physical at a hospital,0,429
was sitting at a traffic light when a cute girl appeared at the side of the road,0,430
boyfriend got mugged,0,431
fell asleep in history class,0,432
found out that you can get arrested for holding up a 'free hugs' sign,0,433
had to play the role of superman in a production on stage,0,434
asked my mom if I could join my friends in getting lessons in self defense,0,435
was watching an animal behavior movie,0,436
went to a chinese restaurant with my asian girlfriend,0,437
went to my friend's house for the first time,0,438
went to my son's soccer game,0,439
was peeing in the shower when my girlfriend suddenly pulled open the shower curtain in an attempt to scare me,0,440
passed a homeless person asking for change,0,441
walked into the bathroom and found my sister cleaning her vibrator,0,442
got our yearbooks for school,0,443
bought a new mailbox to replace the old one that was stolen,0,444
dreamed I was getting married,0,445
was texting two people at once,0,446
was going through my old MSN conversations,0,447
found out that my dad hides his Viagra from my mom by keeping it in an Aspirin container,0,448
boss walked in my office to see me busy making a little Post-it dress for my pen,0,449
visited home,0,450
went to the mall with my daughter,0,451
rushed home to tell my parents my girlfriend had accepted my proposal,0,452
6 year old daughter walked in on my husband and I getting it on,0,453
told my parents that I was going out with my boyfriend and they agreed to let me go as long as I was home by midnight,0,454
was talking this pretty religious girl that I like,0,455
was sucking on a Tic Tac when it suddenly shot down my windpipe,0,456
drove my girlfriend home around 11 to her garage where we start to have sex,0,457
"saw my ex-boyfriend at the mall, kissing another man",0,458
was driving with my dog,0,459
was my high school graduation,0,460
"was giving a class presentation, when I suddenly sneezed so hard I wet myself",0,461
Milkbone commercial came on TV,0,462
woke up with my face sharpied,0,463
called my boyfriend crying to tell him I had the most terrible day,0,464
learned I was adopted and that my parents had died in a car accident when I was really young,0,465
was playing hide and seek with a few friends,0,466
"my boyfriend and I were fighting in the car, I paused to take a bite of my burrito",0,467
was having sex with my husband,0,468
"reading a sign at the airport, my 6-year-old son thought it would be funny to yell, Daddy's got a bomb! Airport security then tackled me to the ground",0,469
son stuck coins in our DVD player,0,470
walked in on my boyfriend getting it on with the neighbour's daughter,0,471
"fiance was performing oral on me, when I heard him start making a Waka waka waka waka noise",0,472
"sleeping over at my girlfriend's house for the first time, I got up to go to the bathroom",0,473
decided to be adventurous and give my boyfriend head in the downstairs tv room,0,474
was sitting in my basement watching IT,0,475
caught my little brother peeping at my friend getting dressed in the bathroom,0,476
was having sex with my boyfriend,0,477
"heard my boyfriend of 3 months talking with his friend, not knowing I could hear them",0,478
"was on the phone with my best guy friend, who I have loved for years",0,479
took a picture of my privates on my girlfriends cell phone and set it as her background without her knowing,0,480
"went to my Calculus lecture, one of a class of 200 people",0,481
finally got into a yoga class with the instructor I've been crushing on for 2 years,0,482
tried on the new dress I bought for myself,0,483
finally had sex with this great guy I've been seeing,0,484
was working as a swim instructor for kids,0,485
finally got up the nerve to ask this really cute girl out I've had a crush on for over eight months,0,486
boyfriend and parents went out to dinner,0,487
"was standing by the bed naked, waiting for my wife to come out of the bathroom",0,488
"four in the morning, I was asleep with my boyfriend beside me",0,489
"girlfriend came over to me, like she was going to kiss me, and instead rubbed her chin all over my face, exclaiming, Can you feel my beard coming in? Yes, yes I could",0,490
"working at a Subway store right next to a big hospital, there was a big line of people all getting their subs toasted",0,491
met with a friend who had gained some weight since I saw him last,0,492
made a friend on an online chat,0,493
was fingering my girlfriend,0,494
was masturbating to a video a friend sent me,0,495
found out that my girlfriend of two years broke up with me because she wants to become a lesbian,0,496
was babysitting,0,497
found a bell that had been tied into the tassel of my ski hat by my twin sister as part of a longstanding prank war between us,0,498
"was playing a medieval game with my brother, when he took all of his character's clothes off and said, Let's have sex! I looked at him and said, UH YOU ARE MY BROTHER! He turns and looks at me, smiling and says, But not in the game! I am a 19 year old girl",0,499
decided to send my boyfriend a pic text of me naked,0,500
found dried cum in my hair - after being at work for two hours,0,501
dad gave me a promise ring on my one year anniversary with my boyfriend and made me swear I would wait til marriage,0,502
and my friend decided to spy on my crush,0,503
was sleeping because I had been sick,0,504
"boyfriend of five years gave me the silent treatment, refusing to talk to me or do anything more than glare at me during the entire three hour drive we took this morning",0,505
"sent everyone a text on my phone book saying, Happy Star Wars Day!!! May the Fourth be with you!! I forgot to uncheck my exgirlfriend's number",0,506
was woken up by my own fart,0,507
saw a very attractive female police officer while at the DMV,0,508
drunk dude broke into my house while my parents were out,0,509
went to a bar with two guys I was interested in,0,510
fractured my knuckle at the gym,0,511
was riding my bike and stopped at a street light,0,512
discovered I am the before picture in an internet weight loss advert,0,513
was in the gas station and I saw this creepy lady staring at me and smiling,0,514
