,sentence,label,idx
325,met my roommate for the first time,0,3136
326,I've never gotten one off that fast before!,1,3921
327,"Don't push it too hard, if it doesn't go in you must not being doing it right",1,291
328,"Ow don't stick that up my butt, that hurts!",1,682
329,"Oh, yeah, I finger myself all the time.",1,1373
330,OK... I swallowed!,1,2379
331,"In fact, you're soft all over!",1,3164
332,little 7 year old brother asked me what horny meant whilst in the car with my parents,0,2515
333,"a very crowded public restroom at a sporting arena, after looking to the man using the urinal to his right, my 6 year old son turns to address me on his left and exclaims, Daddy, that man's wiener is a lot bigger than yours! The whole bathroom heard and looked immediately at me",0,1905
334,I have to change positions! It's all sticky over here!,1,685
335,"It's so juicy, it's running down my face.",1,2257
336,should i go deeper?,1,1396
337,Stop! I'm already wet without you putting your hands on me.,1,3373
338,wore the new bathing suit my boyfriend got me for my birthday to a family reunion pool party,0,3740
339,went for a jog,0,3051
340,it was so big it wouldn't fit in my mouth,1,3438
341,Hot N Cold,1,1995
342,went to the DMV to renew my license,0,737
343,found out my girlfriend only gets aroused after watching Jersey Shore and will only have sex immediately after an episode,0,211
344,got a call from my son's second grade teacher,0,3880
345,"daringly tried that fish-bath thing, where all these fish come and eat all of your skin's dead cells",0,2799
346,"Oh this popped out, do I just put it back in?",1,930
347,mom had a talk with me while my dad was out,0,163
348,"of my friends pointed out I'm starting to get a mustache! - You're finally a man! To bad it's my 15th birthday, and I'm a girl",0,2244
349,found out I won a 20 000 dollar scholarship,0,1766
350,was walking around town with the girl I have loved for four years and have been 100% faithfull to,0,2834
351,yes I'll have mine white and twelve inches. I like the extra meat.,1,3541
352,"talking with my girlfriend about dating, I learned that she has had more girlfriends than I have",0,460
353,I was in math class and we were starting on a new unit in math and my Ex-girlfriend says ,1,1656
354,ughh it hurts when I swallow,1,2627
355, can you fit that thing all the way in the back of your mouth?,1,3678
356,"while at work, I got a call",0,117
357,went out with this girl I really liked and she came back to my place,0,1315
358,Don't you dare put that thing back in there!,1,1340
359,"It looks funny, but it feels really good",1,2452
360,was eating a hamburger on the street when a pigeon came down to take a bite,0,3644
361,sent out my monthly curriculum list to the parents of the kids in my math class so they can see what their children will be learning,0,994
362,was at the store with my mother in the facial care section,0,2226
363,phone rang while I was home alone,0,357
364,wife and I decided to try a relationship book,0,3548
365,I hope to come everyday because that means I make money everyday,1,2099
366,i'm still waiting for it to go in,1,586
367,"had a 10 hour drive to Las Vegas with only 2 CDs, Taylor Swift and Jason Mraz, and my girlfriend who thinks she's a good singer",0,1059
368,was sat on by an obese woman,0,1529
369,"wondering why I've never met my father, I asked my mom if I was the product of a one night stand",0,2180
370,I don't want it to blow in my face.,1,272
371,husband dropped me off at work,0,3119
372,husband and I got a new stainless steel microwave,0,2588
373,"Awww man, I wish it was longer!",1,635
374,"Yeah, Pedro and I did it last night, but I'm not sure if it counted because he fell asleep half way through. I just kept going though, because I needed to get it done.",1,874
375,"Honey, I don't think this is going to fit!",1,1001
376,"Its a little stiff, but I can manage",1,3826
377,was sitting in traffic for about an hour,0,910
378,family was talking about how people's hair goes gray when they get old,0,1936
379,was in the car with my 16 year old daughter,0,679
380,"oh my god, it's way to big it won't fit.",1,3780
381,decided to confess my feelings to the girl I've had a crush on since the beginning of high school,0,3323
382,what are you doing! you are going to get my sheets wet,1,24
383," It's big, it's slow and it's gonna be long.",1,2432
384,saw my ex-girlfriend across the street,0,3249
385,"I dont think it's going to fit, maybe we should get it wet, then it will slide in really easy.",1,29
386,was in a public restroom when the girl in the stall next to me started asking me how I was doing,0,318
387,got stoned at a party for the first time,0,2264
388,"twin sister sent a nude picture to her boyfriend, who then forwarded it on to everyone else",0,1800
389,had a check-up with my dermatologist,0,268
390,I just can't seem to get it in the hole!,1,3163
391,anything that will fit in this hole.,1,2166
392,Wow I hope i can fit it in my mouth,1,2601
393,It hurts when I put it in and out.,1,1946
394,"It's so hard, I cant do it anymore!",1,1197
395,"girlfriend was giving me a hand job, which was great, until she started saying milk the penis",0,1495
396,discovered that my fiance had tried to fake his own death because he thought it would be easier than confessing to the affair he was having,0,168
397,Do you have an extra G-string?,1,3018
398,"That sounds painful, ",1,2352
399,girlfriend told me she lost her phone and not to call or text her,0,1617
400,"was walking out of class when I saw a girl enthusiastically run to her boyfriend, jump on him, and smother him with kisses",0,457
401,best friend slapped me and called me a some colorful words before telling me that she never wanted to talk to me again because I supposedly slept with her boyfriend,0,2975
402,"was with my girlfriend, thinking we were alone in the house",0,895
403,you've got to make sure you shove that all the way in for it to engage.,1,3296
404,customer at the store I work at asked me what kind of cake I would suggest for her husband's 50th birthday,0,3239
405,was going to have sex with my Hispanic boyfriend,0,2958
406, Do you go all the way or do you pull out?,1,1236
407,was feeling up my girlfriends chest,0,3370
408," I like the taste of them, I just don't like the feel of them in my mouth so I just suck on them.",1,1363
409,"Ooh, I love the long, juicy ones!",1,3916
410,was on my first date with my crush,0,1435
411,was lying on the bed with my boyfriend,0,287
412,"Wow, I put the whole thing in my mouth.",1,3561
413,oh it doesn't matter the longer the better.,1,877
414,director of the play I'm in decided to explain why we got the parts we did,0,416
415,"picked up my daughter from the day care but before we left, the babysitter needed to have a talk with me",0,723
416,As soon as I pulled it out I found the other hole.,1,2890
417,"Every time I stick it in, it slides right back out!",1,60
418,"You can put it in either one, but make sure you don't squish my buns.",1,3363
419,Hurry up!,1,391
420,6 year old daughter saw a man in a wheelchair who's leg had been amputated,0,463
421,I scream really loud when it's hard.,1,1507
422,Maybe you should go around the other side,1,2008
423,asked my girlfriend why she can't treat me like the way I treat her,0,3534
424,"Let's play the PS2, at least with disks when it doesn't work ",1,754
425,found out that my best friend kisses me while I sleep,0,590
426,my wife got her second kidney stone in a month,0,1536
427,was talking to the girl I've liked for 2 years,0,2101
428,"Wow, it's so short its embarrassing!",1,1534
429,Why are they all so big? I just want a small pair of balls!,1,1193
430,okay i have to stop this my fingers are getting numb.,1,613
431," Quit fingering it, and just eat it.",1,1156
432,It was so small I didn't even feel it sliding out.,1,3245
433,"waiting for class, I let out a huge fart in front of everyone thinking no one would hear it over the music",0,1110
434,five year old daughter was watching cartoons on TV,0,2545
435,just stick it in and enjoy it!,1,1943
436,boyfriend was going down on me,0,544
437,My favorite way to have these is to suck on them one at a time.,1,3201
438,It slides in so easily.,1,129
439,"This is so hard, but I'm so hungry, I'd put anything in my mouth.",1,2035
440,was going down on my girlfriend,0,1360
441,It's really big and goes in really deep too.,1,2951
442,was in a store with my dad,0,504
443,teenage son called me at work and started screaming abuse at me,0,2243
444,peed at a urinal,0,1819
445,received a text from my girlfriend to break up with me,0,3342
446,"was talking to my only grandson about how I was going to the dentist to get my teeth fixed and how it was going to cost a lot of money, he replied saying Who cares, you're going to die soon anyways",0,1513
447,are you ok?,1,2023
448,met my boyfriend's whole family,0,655
449,lubricate the rod before putting it into the hole.,1,2037
450,fell asleep in history class,0,891
451,"It might be a couple of minutes, I can't get it in!",1,894
452,and my boyfriend had some crazy rough sex,0,3553
453,Whoa! Looks like something big went down here.,1,1305
454,I'm going to put my mouth on it and suck it dry.,1,805
455,"was with a group of friends at a bar, and we were all talking about whether we were moaners, screamers, or quiet during sex",0,3276
456,"was sitting on a bench enjoying the sun, when a guy came and sat next to me",0,2152
457,forgot my inhaler,0,1091
458,be careful not to put it in the wrong hole.,1,3472
459,7 year old girl randomly came up to me and told me to fuck myself,0,3107
460,"the wee hours of the morning I decided to make a naked dash to the bathroom, unfortunately, my dad decided to do the same thing at the exact same time",0,2840
461,"It's shrinking, I can feel it!",1,423
462,posted a status update on Facebook about how much I liked the Season Finale of NBC's Heroes,0,483
463,what was it like,1,1231
464,There's no way I can vault over that!,1,2360
465,"I was walking home from work, it started to rain",0,873
466,"saw a video of me last night, hammered, climbing my wardrobe screaming I WANT TO GO TO NARNIA naked",0,2271
467,15-year-old daughter asked for a ride to her boyfriend's house,0,2573
468,flamingo,1,3817
469,was pushing my 4 year old on the swing,0,2994
470,was on top of my boyfriend having sex and I was looking away doing my thing,0,3118
471,was walking back to my home in the city in the dark,0,3621
472,I didn't realize it squirted that much,1,475
473,"He could see where the hole was, but it just closed up so quickly that he couldn't get in there.",1,3385
474,Reach down there and pull out some balls.,1,3811
475,I have been blowing it all day!,1,2210
476,I'm sorry I was riding you so hard.,1,2463
477,"discovered my boyfriend prays before and after sex, because he thinks he'll keep his abstinence by doing so",0,2777
478,tripped on a step that said Watch your step,0,3891
479,Make sure to get it in there quick.,1,1102
480,"came home from work and found my house egged, and bricks thrown through my windows.",0,2061
481,sent a picture to my girlfriend of my erect penis with a quote saying It's waiting for you,0,1524
482,discovered I am the before picture in an internet weight loss advert,0,2874
483,Amanda just let me poke her in the face with that stack of money.,1,2556
484,"I like to start out on top, then when I get tired of that, I'll move to the bottom.",1,1725
485,Ive been pounding that into him for the last year and a half.,1,1940
486,stick it in and keep it in till she comes!,1,3885
487,"We may be in for a wild ride, it's coming at us hard, but if we are prepared we may be safe.",1,2889
488,found out I will not be getting my class ring,0,832
489,Great job. You were really pounding those balls out there.,1,3689
490,you didn't let me finish!,1,3054
491,friend and I were seeing a movie,0,1106
492,came home to find a BMW partially blocking my driveway,0,178
493,girlfriend told me that she had an ultrasound tomorrow morning,0,1209
494,"It's so slippery, I can't stop!",1,1842
495,boyfriend and I were about to have sex for the first time,0,2156
496,"my boyfriend and I were having sex, he suddenly stopped and walked to the kitchen",0,3149
497,kitten was playing with the drawstring on my pajama pants,0,2843
498,"omg you squirted it in my eye you bastard, it burns!",1,3098
499,It wont work. Her hole is bigger than mine.,1,2022
500,decided to play a joke on my boyfriend and planned to pretend that I found a thong in his gym bag,0,376
501,Was that too fast? I'd be happy to do it again but much slower.,1,44
502,decided to have sex for the first time with my boyfriend,0,1031
503,It got stuck in the crack!,1,267
504,Oh sorry! I just blew in your face!,1,2107
505,went out to eat dinner with my family to celebrate my 18th birthday,0,534
506,I just love watching you try to get your mouth around that.,1,1177
507,"Without any warning, he just plowed me from behind!",1,1931
508,"learned that if you stare at your cat and her eyes suddenly get really big, it means she's going to maul your face",0,861
509,learned to check inside the oven before you preheat it,0,2041
510,was at the beach with friends and I fell asleep while I was tanning,0,1638
511,"I don't like it going in really deep at first, but then when I warm up I like going down, ",1,3087
512,mom decided to tell me about her new boyfriend,0,3908
