,sentence,label,idx
84,"No, you have to stick your whole hand in there.",1,1022
85,told my 8 year old daughter that she looks a lot like mommy,0,1037
86,Its harder to keep in when its thin. It just keeps falling out.,1,3378
87,gave my wife a cat,0,2001
88,"Oh, I thought it would be longer.",1,750
89,It's too hard to eat off of them,1,94
90,He can do magical things with his fingers,1,817
91, I want to blow that one!,1,4
92,went bowling,0,236
93,got home and threw my phone onto my bed as usual,0,2200
94,Ive been pounding that into him for the last year and a half.,1,1940
95,I hate it when balls come near me.,1,529
96,It was coming at my face!,1,2024
97,"went shopping with my new It's true, I'm a Ninja shirt on",0,703
98,I just got nailed from behind!,1,3582
99,walked into my house to find everyone sitting around the table and looking sad,0,482
100,"Fine, don't pull out, see if I care!",1,2547
101,Is it gonna hurt?,1,220
102,was on the bus going to formal for my sorority,0,3663
103,"woke up to a hand rubbing my very erect penis, and a woman's peppermint breath in my ear",0,498
104,"girlfriend threw my X-box out the window, because I asked her how much she weighs",0,3926
105,Make sure to get it in there quick.,1,1102
106,was at McDonald's and I was going through the drive-thru,0,3045
107,The balls are just hanging there!,1,2384
108,emailed my boyfriend from work,0,3913
109,"found out that my boyfriend is cheating on me, with the same guy I was cheating on him with",0,2910
110,director of the play I'm in decided to explain why we got the parts we did,0,416
111,I didn't know you could finish that fast!,1,3542
112,"I showered, I sneezed, hit my face on the wall, got shampoo in my eyes, slipped on a bar of soap, bashed my head on the wall as I fell, grabbed at the walls to stop me from falling and happened to turn off the cold water, scorching me",0,3761
113,"Oh sorry, that just fell out my box.",1,398
114,passed a homeless person asking for change,0,54
115,Is it going to be very long?,1,1013
116,Whoa I didnt know it would come out that fast.,1,1961
117,I like to do it slow because it lasts longer.,1,1952
118,"...I got tired of looking at it, so I put it in my mouth.",1,2513
119,have been stuck in the bathroom,0,1318
120,wanted to surprise my boyfriend by dressing up in sexy lingerie,0,2369
121,"If ure going to come late, come in the back!",1,1796
122,Do you have to suck harder to get more out?,1,1914
123,Let me know when you're getting off because I want to come at the same time.,1,296
124,was riding in the car with my boyfriend,0,1281
125,He just jammed it in and it really hurt!,1,2579
126,Let me see how wet it is before I put it in.,1,1744
127,"daringly tried that fish-bath thing, where all these fish come and eat all of your skin's dead cells",0,2799
128,was going to propose to my girlfriend of 3 years,0,3424
129,Don't suck too hard or it will shoot down your throat.,1,1043
130,I love BJ's.,1,1942
131,got an email from the company that manages my Cat's microchip informing me that I had to update my information that had been entered by the local Humane Society,0,3562
132,thought it would be funny if I put a 'Free if Hot-Wired' sign on my friend's car,0,3258
133,it was long and hard and boring,1,2852
134,I was going to tell you not to blow your load too early.,1,119
135,"Stop, the more you rub it, the more it comes!",1,965
136,friend had to take my cat who has a tumor to be put down when I wasn't home since I couldn't bare to take him myself,0,148
137,had to clean bathroom duties at work,0,1124
138,"woman came to my counter and ordered 12 donuts, I said OK sure, a dozen donuts",0,2674
139,was so lonely that I had a 3 hour conversation with a one-legged cricket I found in my room,0,854
140,"That's good, because no matter how wet you get her, it still won't penetrate!",1,2387
141,was in a very crowded train coming home from work,0,1331
142,"went out to dinner to a family restaurant, and I was wearing a skirt since it's so warm out",0,942
143,I have three holes.,1,1292
144,Hey can I use your Ipad?,1,2526
145,I didn't see him coming so I had to switch sides.,1,3622
146,got a call about my dog who went missing a week ago,0,2826
147,"it's too big, I can't receive it.",1,2498
148,whole family was sitting in the kitchen,0,480
149,kept finding ants crawling all over my face,0,1403
150,husband found the box my morning after pill came in,0,1079
151,This game is called positions. You'll need a partner.,1,1183
152,found out that my best friend kisses me while I sleep,0,590
153,I keep sucking but nothing will come out!,1,276
154,fianc̩ and I were having wonderful sex with the bedroom door open,0,1028
155,Put it in further and push harder!,1,3868
156,"Wow, that was a pretty big blast",1,997
157,"It's in right! Why does it hurt so much, it's not like it's my first time or anything!",1,2184
158,wanted to try my mom's new lipstick,0,3174
159,Right i'll go down on this one,1,2516
160,"I put it in my mouth and I told him it tasted great, but OMG it made me want to gag so bad.",1,2299
161,was having the most wonderful bath,0,3493
162,walked into the kitchen and accidentally broke my mother's vase,0,1432
163,"Yeah, so I had to sit there and blow it really good so it would be dry.",1,3160
164,looked on my sister's phone,0,2242
165,"my boyfriend was going down on me, he fell asleep right between my legs",0,485
166,was sent to the hospital for being knocked out with a potato,0,751
167,"You know, I think you took it out too early...put it back in for a while.",1,1504
168,No! I want to see balls!,1,1207
169,"browsing YouTube, I looked at the section Recommended for You",0,2879
170,It's a good three inches deep. You should be able to fit a nice big sized rod in there.,1,2209
171,"was hanging out with a few of my friends, including an old ex-girlfriend and her current boyfriend of 5 years",0,1062
172,You went in the out door! Not allowed!,1,1459
173,I like to be on top of you to make sure you finish the work,1,2668
174,You have white stuff all over your face.,1,292
175,finally had sex with a girl I've been dating for over a month,0,3617
176,"I had it and my sister wanted it, so gave it to her and she rode it for a while.",1,1555
177,was walking up to girlfriends house when her terrifying Marine Corps dad threw a football at me,0,1817
178,let's go to a BBQ restaurant and get some ribs,1,2048
179,Take off the wrapper and pop that sucker in.,1,2654
180,Hurry up!,1,391
181,You need a wet finish.,1,3350
182,boyfriend confessed his desire to have sex while I'm on my period,0,1153
183,saw Saw IV with my boyfriend,0,3408
184,was sitting on a park bench with my very elderly grandfather while listening to music at a low volume,0,477
185,Wow these are the two hardest balls I've felt all day.,1,157
186,I just can't seem to get it in the hole!,1,3163
187,It's hard to get really deep.,1,3905
188,"Sure, when do you wanna do it?",1,3281
189,got my renewed driver's license,0,1560
190,I can't find the hole!,1,3867
191,found out just how thin the walls at my new student flat are,0,2014
192,There is no way that will fit in there! Just look at how tight it is!,1,1636
193,"boss screamed at me for almost an hour because, apparently, I hurt my coworker's feelings when I stopped speaking to her after finding out that she was sleeping with my boyfriend",0,2676
194,"it's not that big, stick it in your mouth and suck it till the juice comes out",1,584
195,girlfriend of two years broke up with me,0,2786
196,"Damnit, old man! I wish you'd pulled out 2 minutes sooner!",1,2587
197,reading some chemistry notes I came across the term solid water,0,193
198,"went to my girlfriend's sorority formal, we were both drunk",0,1527
199,was out eating lunch with my parents when my mom complained that I eat too quickly and don't thoroughly chew my food,0,491
200,bought a new mailbox to replace the old one that was stolen,0,560
201,"Push it in harder, it'll probably go in far enough.",1,1128
202,How did you do it?,1,2140
203,was babysitting a little boy,0,3073
204,babysat a five year old girl,0,2768
205,"Hot damn that hurt, but it was a good hurt. I broke a sweat. A major sweat.",1,2764
206,found dried cum in my hair - after being at work for two hours,0,1462
207,commented on how realistic my fat suit was,0,995
208,was my 18th birthday,0,321
209,You took it out way to early and im sooooo wet! Put it back in and don't get it everywhere!,1,3642
210,mom walked in on me masturbating,0,3208
211,I'm just going to do this quick and dirty.,1,2736
212,went to dinner with my boyfriend,0,791
213,told my girlfriend's father that I wanted to talk about his daughter,0,915
214,"If you don't stop sticking that thing in me, I'll break it off!",1,1757
215,girl and I were chilling in my apartment and things got heated up and we started making out,0,530
216,"babysitting a six year old boy, he asked me if I could show him my boobies",0,1695
217,Sadness... even thought it's hard you need suck it up and swallow it.,1,1592
218,it was the best thing I've ever put in my mouth!,1,765
219,an argument with my daughter she screamed everyone hates you! and stormed off.,0,2349
220,This is so awesome i have three instruments playing in my box at once.,1,2074
221,went to my girlfriend's Catholic all girls high school to ask her to prom by decorating her car,0,1601
222,made out with my friend for the first time,0,495
223,i'll be wet before i get it up,1,421
224,guy friend and I were in his dorm room watching a movie when he started kissing me,0,770
225,was talking this pretty religious girl that I like,0,2827
226,"It's shrinking, I can feel it!",1,423
227,found out that I'm pregnant,0,1478
228,"Hey, get out of my bush!",1,2710
229,asked my boyfriend while he was eating potato chips if he wanted to eat me,0,615
230,"Oh it feels so good, you just insert here and squeeze.",1,326
231,Don't blow but finger them.,1,1269
232,asked my girlfriend why she can't treat me like the way I treat her,0,3534
233,But I'm not wearing protection!!,1,3727
234,found out my girlfriend only gets aroused after watching Jersey Shore and will only have sex immediately after an episode,0,211
235,"Can we finish this orally, my hand is starting to hurt.",1,2564
236,wow I've never seen any that thick before! I bet this means we can't fit as many in now.,1,938
237,"If you can get the inside wet, you should be able to get it off.",1,10
238,"Look, its getting harder!",1,2190
239,decided to cook dinner for my wife and kid,0,1312
240,Maybe you should go around the other side,1,2008
241,"it's not even wet yet, and u wanna go faster?",1,101
242,This morning I blew it so hard I thought I was going to throw up.,1,3837
243,make sure to lick your reeds to keep them nice and wet.,1,3813
244,my 16th birthday,0,3652
245,"You got to learn to work your mouth, and use your hands too.",1,1680
246,"Hey Curt, Think you can make that hole any bigger?",1,402
247,It's a rough ride in the back. We had to hold our boobs or it hurt.,1,3391
248,"You can't put it in yet, it's not hard.",1,2812
249,I just love watching you try to get your mouth around that.,1,1177
250,There you go. Push it up into her.,1,2020
251,was sitting at the park with a friend when a small child approached us,0,1350
252,girlfriend broke up with me,0,1101
253,was on a cruise and fell asleep next to the pool,0,833
254,"Ooh, I love the long, juicy ones!",1,3916
255,are you ok?,1,2023
256,Just keep shoving it into holes and you'll find the right one eventually.,1,757
257,"pull out the stick, wipe it off, then put it back in. Then pull it out again and look at how much fluid is left on the stick.",1,440
258,God! Why is it so long!,1,3861
259,"UGH! I squeezed too hard, and it's gooey and all over my face.",1,527
260,was a parents bike race on the track at my high school for a fundraiser,0,2813
261,was home on leave and having breakfast with my parents and my younger brothers,0,2189
262,girlfriend told me on facebook to stop calling/texting her because she lost her phone,0,3796
263,"Why is it every time you come, you get wet?",1,1811
264,have a look in the crack and see if you can see anything white,1,646
265,I want to do some laundry.,1,1431
266,mom was really mad at me and I was driving her to the grocery store,0,2338
267,told my mom that I was taking antidepressants because I hate myself,0,1692
268,just shut up and shove them in!,1,3367
269,got my brother a pet hamster because he has trouble making friends,0,2941
270,wow you stretched me so good.,1,173
271,car heater finally died,0,2224
272,confessed to my best friend that I love him and always have,0,3874
273,it's dripping down my leg,1,1233
274,had a pretty big erection while getting checked out at the airport,0,1234
275,No! You're doing it wrong! You're sticking it in the wrong hole!,1,1717
276,girlfriend and I went down to the pier,0,3807
277,husband of 9 years announced he was gay,0,3473
278,"oh my God, slow down this is just too hard.",1,1733
279,had to play the role of superman in a production on stage,0,535
280,UGH! When u screw it the stuff comes out!,1,1602
281,I usually just go down but sometimes they make me do other things.,1,2572
282,What kinda hole do you put that big thing in?,1,2942
283,was getting my first tattoo done,0,2982
284,"was sitting at my college campus, there were good looking girls all around me and I was trying to catch their eye and smile, letting them know I'm available",0,2618
285,I was just happy I got him in there!,1,645
286,Yeah but I like it when it hurts,1,637
287,i was just about to come and then you knocked,1,587
288,was at the movies with my mom and dad and the preview to my My Sisters Keeper came on,0,1849
289,"learned that when blender jars aren't locked, they fly off the blender, into the air, hit you in the head and explode all over your kitchen",0,2495
290,I can't believe it's so tiny.,1,393
291,"Alright Justin, what am I doing wrong here, help me out cause it shouldn't take this long.",1,607
292,got mugged,0,927
293,"it might be in there, but it's so small I don't feel it.",1,2929
294,"Guys are you sure that you wanna go like that, I'm free, I have nothing better to do and if you want I can give each of you a ride if you guys want, especially you michael, you're my favourite.",1,2845
295,saw a lesbian couple walking through the mall,0,3044
296,Just put it in that hole so I don't have to bend over.,1,1700
297,"Ok, do you want to suck first or should I?",1,3348
298,"If the SIZE doesn't amaze you, the TASTE will!",1,657
299,"work, a little boy shyly told his mom he thought I was cute",0,3657
300,daughter and husband decided to surprise me at work,0,3290
301,mom went to a psychic.,0,1713
302,gave my boyfriend a spontaneous blowjob while we were watching TV,0,2741
303, your rod and shaft comfort me in great pleasure,1,3446
304,it was so big it wouldn't fit in my mouth,1,3438
305,it's too thick. I just keep sucking and I'm getting dizzy from it.,1,206
306,"This is longer than last time, ",1,763
307,"I went to bed, I watched a terrifying movie with zombies",0,2362
308,I nearly had that in my cleavage!,1,2861
309,I like to put the whole thing in my mouth at once,1,1211
310,It won't go in!,1,818
311,"at a party, Journey's Don't Stop Believin' started playing",0,1410
312,I underestimated the amount of fluid coming out.,1,35
313,"suburban, white boyfriend of two years told me he wanted to tell me something serious",0,126
314,broke up with my boyfriend,0,2807
315,"ok guys, this thing is big and its super hard. so what we're going to do is hover right over it, tackle it, and then lower ourselves into it until it sprays. got it?",1,373
316,was getting changed in front of my room mate of two years,0,2289
317,"Honey, I don't think this is going to fit!",1,1001
318,I'm really getting tired of having this thing in my mouth.,1,411
319,"Don't put that in there, the hole is too dirty",1,1685
320,"Dude, why'd you just stop randomly?",1,617
321,It's like I can't breathe without you inside of me.,1,2453
322,was having lunch with my sister and my mother,0,1147
323,spotted one of my close friends using the ATM outside our school's university center,0,1356
324,Man I hate the feeling of wet wood in my mouth,1,445
325,"10 inches, black, nothing special.",1,969
326,received a detention because I threw up on the school nurse who wasn't going to send me home,0,3510
327,32 inches is too big for the bedroom.,1,2350
328,Open package and insert here.,1,3236
329,"Yeah, the bigger it is, the harder it is.",1,293
330,wore my cool new shirt with an oriental character on it to class,0,2836
331,It's huge! It'll never fit inside. Maybe we should grease it?,1,1834
332,girlfriend and I decided to change things up by having sex on her trampoline in her backyard,0,2470
333,"was trying to have sex with my boyfriend, David",0,1950
334,It wasn't hard but it was in so it still counts!,1,868
335,"woke up hungover and thirsty, I found a glass of water next to the sink, filled it up with more water, chugged it and went back to bed",0,2191
336,had to go to the bathroom,0,1130
337,i was gonna shove it back in but i was afraid i would get electrocuted!!!,1,453
338,was sitting on the bus next to a hot guy who was texting,0,77
339,lied to the treadmill about my weight,0,1256
340,parents said that they bought me a car,0,762
341,"You can just come, you don't have to eat.",1,27
342,celebrated my 21st birthday,0,916
343,was having sex with a girl when her parents decided to come home early,0,283
344,I can blow good!,1,966
345,"Okay, I need two large male parts!",1,189
346,As soon as I pulled it out I found the other hole.,1,2890
347,windows on my car were frozen,0,3074
348,cousin told me that the stop signs outlined with a white line were optional,0,692
349,mother found condoms in my room,0,2478
350,boyfriend was reading me a love poem he wrote for me,0,2675
351,went to the doctor for horrible stomach pains,0,3184
352,You don't know what it's like to have these things hanging in your face all the time!,1,116
353,"Isn't it the biggest, best, most beautiful cock you have ever seen?",1,1210
354,My biggest fear is that it's going to get into my eyes.,1,563
355,was at the park when I saw a homeless man sleeping on a bench,0,1276
356,bought a brand new flat screen TV,0,1511
357,Just put it in your mouth. I'm sure it tastes better than it looks.,1,3708
358,"boyfriend and I took a late night drive, and after a while he stopped at a gas station and asked if I wanted anything I replied guess",0,3646
359,"Man, I could honk on this thing all day!",1,3850
360,My arm is so tired...it feels like its about to fall off.,1,3818
361,It's not going to hurt is it? Should I look away?,1,2560
362,was in a public restroom when the girl in the stall next to me started asking me how I was doing,0,318
363,was enjoying some much needed serenity while I ate lunch in an empty park,0,3336
364,Can you tell me if it's coming any time soon? Because this is ridiculous!,1,3577
365,I can't! It's so hard and my mouth is starting to hurt!,1,3109
366,was at a mall,0,2665
367,was pissing in a urinal and I had the urge to sneeze,0,3206
368,"The rod's gotta fit in the hole real nice and tight. If it slides right in, the hole's too big.",1,1011
369,It was unusually long in my mouth.,1,3454
370,my two-year anniversary I got my girlfriend a very expensive diamond necklace,0,600
371,gave a campus tour to a group of high school seniors,0,699
372,I took yours out earlier because it was so small.,1,2266
373,found out that my son is not really gay,0,2363
374,"Oh my god, I'm shaking so bad, it won't go in!",1,2916
375,I'll scream if you don't give it to me!,1,716
376,"First I like to go up, then I like to go down, then from side to side and then all around.",1,1687
377,Wow it pops up quick!,1,1015
378,"Houston, we have a problem. It's too big.",1,2815
379,wife was complaining she always has to put up the Christmas tree,0,2313
380,How are you doing in this position?,1,636
381,It went right in; you just slipped it right up there!,1,2543
382,made a batch of special brownies for a party I was going to tonight,0,1738
383," you wanna get it right the first time, you don't wanna have to keep putting your cargo in and out and in and out cause something might break",1,2549
384,was at work laminating a large photo,0,1968
385,easier to put in than take out.,1,1087
386,You came! You came! It's about time!,1,2102
387,just go eat your fruit.,1,343
388,english teacher asked me why I didn't have my project completed,0,3771
389,stop playing around and get into position,1,3167
390,"Damn, this is a tight fit.",1,987
391,realized that my ex-girlfriend has gone further with a girl than I have,0,2246
392,"Then be quiet, and either spread out, or I'll spread you out myself.",1,479
393,Do I suck it or just put it all into my mouth?,1,802
394,took my two-year-old daughter swimming,0,243
395,friend and I were seeing a movie,0,1106
396,had a meeting with my super-hot TA,0,1294
397,people could stick things in there and jiggle them around and it could ruin the whole system.,1,1915
398,"I walked outside to see my friend frantically waving and running at me, yelling something I couldn't understand",0,1831
399,"Oh yeah, Oh yeah, i LOVE the white stuff, its so delicious!",1,3344
400,"Oh come on!! If it's really tiny, we'll just ride it twice!",1,281
401,found out my mom is the nude model for an art class at my college.,0,3647
402,I will wait until it's hard.,1,3422
403,...a great penetration!,1,1135
404,do you need help laying that pipe? Or can you get it in there?,1,2612
405,asked my parents if the outfit I was wearing made me look fat,0,2931
406,participated in a charity auction at my university where the boys are sold to the highest bidder to be a slave for a day,0,3458
407,danced with a girl until the bar closed,0,2917
408,was helping my friend create an online dating profile,0,234
409,was my high school graduation,0,250
410,It's so sticky.,1,3003
411,was having sex with my girlfriend of nine months when she gets a phone call and decides to answer it,0,2275
412,Just put your hand down there and grab it,1,127
413,"I am going to have to do it sideways, it's just that big!",1,3019
414,"Well, it's not quite the size I wanted it to be, but it'll have to do.",1,898
415,"copying some stuff for school, I felt someone rubbing her boobs against my back",0,726
416,"Be careful! Don't stick the whole thing in your mouth, it's too big and you'll choke!",1,2717
417,7 year old girl randomly came up to me and told me to fuck myself,0,3107
418,aww! I was about to blow and it got all in my hair!,1,820
419,mom and I went to the store,0,320
420,I'm not blowing anything!,1,3703
421,"Man, I hate reaching down there and not finding anything.",1,713
422,was watching Harry Potter,0,1270
423,"Yeah, sometimes I like to open her up and play with her.",1,74
424,"Yeah, you know I have the biggest mouth in the whole school.",1,1215
425,Why did you scream so loud?,1,3593
426,but u have to do it in front of me and put it all in your mouth.,1,2740
427,"Whoa, he pulled out without warning!",1,2110
428,"Come on, we have to go!",1,2842
429,was setting up my laptop's fingerprint scanner,0,2
430,received a GPS for my birthday,0,743
431,"Just so you know, I'm going to choke this down for you.",1,3666
432,"I'm bleeding and it hurts, but I think we should just finish.",1,100
433,overheard my boyfriend of two years tell his friend he was going to pop the question,0,3939
434,I don't know if my throat can take anymore. It was hard enough to make it the whole 10 minutes.,1,3015
435,I love it when black guys go deep.,1,1073
436,"riding in the car with my friends, we stopped at a red light",0,2015
437,It's too dry to fit down my throat.,1,1699
438,"It's huge! It's like this long, and that big around.",1,1929
439,"You have to pull it out, shake it a little, give it a minute then stick it in really fast.",1,1649
440,"dont worry, im being careful",1,161
441,"You can't just go in and pull out. You gotta stay there for a while. Also, keep it steady, nothing is worse than shaking. You may think you are doing a good job, but people don't like it.",1,2050
442,"I keep swallowing the white stuff, but it keeps on coming!",1,3177
443,came home to my wife crying,0,2368
444,"No no, its way to thick and those heads are massive, they'll penetrate too far. You have to pull it out before it does any damage.",1,2538
445,farted while I was in line at the bank,0,2803
446,"It won't go in, it's just way to small!",1,809
447,I was gonna blow that!,1,2476
448,I wouldn't be able to pull out with this big thing.,1,3694
449,normally i just shove it in and suck it.,1,3600
450,best friend thought it would be funny push me off my bike,0,1388
451,"mom when randomly turned to me and said: You know, you're the kind of person that has to change literally everything about themselves to get a guy to like you",0,1301
452,You know I hate it when you squirt me in the eye!,1,1049
453,Pull out now?? In our moment of triumph??,1,588
454,Which hole does it go in?,1,3498
455,was at the mall with my friend when I saw my boyfriend in Victoria's Secret - with another girl,0,3556
456,"woman got out of a car to scream at me as I was walking with the kids I babysit, demanding to know where I was taking her children",0,2213
457,"on my honeymoon with my new wife, I tried to be romantic by installing a clapper to the lights in our room",0,1482
458,was buying an expensive pillow for my mother from a store clerk who wouldn't stop staring at my boobs,0,612
459,I'm not even going to touch that one I'm just going to sit on it.,1,12
460,Please do not ride me,1,1044
461,got an electric razor and a lesson from my dad on how to shave my mustache and chin,0,2208
462,"I don't know about your toothbrush, but my finger did a pretty good job this morning",1,2481
463,"Oh my God, something just exploded in my mouth!",1,3784
464,"Justin, stop playing with my rack!",1,3425
465,did some math,0,572
466,was eating with a friend while walking on the sidewalk,0,971
467," the harder you go, more will come out.",1,2938
468,"was straightening my hair when I heard this crunching, sizzling sound",0,174
469,I just squirted everywhere!,1,225
470,boyfriend was really stressed about a guy he works with being a jerk,0,1061
471,"This is a long and hard one, so ride it the hardest and fastest you can.",1,3522
472,was at the mall in a store looking at movie posters,0,379
473,request-off,1,1307
474,was naked on top of my boyfriend looking lovingly into his eyes,0,2365
475,My brother always wants to touch it....my sister is afraid of it....and my mom wants nothing to do with it.,1,9
476,watch the tip it tends to squirt!,1,1286
477,was helping a couple come up with a name for the baby they just had,0,842
478,"pleasuring myself in my bedroom, I began absent-mindedly staring at a spider on the ceiling",0,386
479,"If you put it in there without a cover over it it will get so hot that it will explode everywhere, and i don't want to make a big mess.",1,3496
480,I don't think I can swallow this.,1,1773
481,was at the Wild Animal Park,0,180
482,It's been in your mouth for half an hour! Either spit it out or swallow it!,1,1397
483,I love staring at people when they pull out.,1,3797
484,woke up screaming,0,3519
485,pinch pots,1,1775
486,toddler peed in his potty for the first time,0,285
487,"woke up to find my cat, dead, hanging from the ceiling fan",0,1797
488,mother called me downstairs to give me what I assumed was going to be The Talk (About four years too late),0,2439
489,I can't stuff it in there. I need you to help me.,1,786
490,"Son, after she gets off, then you can leave.",1,3020
491,nose was itchy,0,2993
492,finally had sex with this great guy I've been seeing,0,2300
493,"of my friends pointed out I'm starting to get a mustache! - You're finally a man! To bad it's my 15th birthday, and I'm a girl",0,2244
494,"fiance was performing oral on me, when I heard him start making a Waka waka waka waka noise",0,755
495,Ya i whacked those balls so hard!,1,1195
496,I squeezed one of them too hard and it went up my nose.,1,1974
497,was getting a pedicure and the woman sitting next to me asked the lady if she could take the skin she had scraped off my feet home to her birds because they love skin,0,2169
498,gave the option to my boyfriend of 5 years to either quit World of Warcraft of lose me,0,1611
499,"That's right, you can't stick it in if there's one in there already.",1,81
500,omg it just popped out in my face!,1,1077
501,Stop fingering my muffin!,1,3099
502,was babysitting,0,946
503,was texting my trainer to rearrange our training session,0,2105
504,woke up to two text messages from my mother,0,1225
505,it's a white anaconda!,1,2586
506,Can you not drive like that while this is in my mouth? It's going to get all over my face.,1,3081
507,"was in the bathroom at the mall, when a homeless man came in mumbling to himself",0,554
508,grandma walked into my room and asked if the thing lying on my nightstand was a computer,0,2290
509,its too soft to blow!,1,2096
510,work we were gathered to be told some bad news,0,949
511,ughh it hurts when I swallow,1,2627
512,"Ew, I just did all of that work, and now I have white stuff all over my hands!",1,3005
513,met my roommate for the first time,0,3136
514,"my school, the student council is trying to raise $5000 for Haiti",0,486
515,"being diagnosed with cat allergies, I explained to my cat-loving boyfriend that the doctor strongly recommended not allowing the cat in the bedroom",0,1621
516,was on my first date with my crush,0,1435
517,got a call from my child's preschool saying that Mindy keeps saying she sits on her daddy's lap and plays with his peter,0,531
518,grandma went to get my twin sister and I a birthday gift,0,3491
519,told my morbidly obese teacher that he had mustard on his chin,0,1833
520,"Dang it all! It's supposed to be hard, not soft!",1,677
521,"It hurts like hell! Pull it out, Pull it out!",1,740
522,peed at a urinal,0,1819
523,"teaching swim lessons, a boy was holding a noodle and claimed it was his fishing rod",0,3866
524,"I know its hard, but we just gotta ride it out.",1,3554
525,boyfriend and I were having sex,0,2972
