text,label,id
"How is it related to stack manipulating instructions and to auto-indexing (see 4.3)?
",0,24458
"I received daffodils, roses and an acting primer.
",0,30118
"Africa's poor - new life abroad or shattered dream.
",0,20476
"Can you hand it back at the airport?
",0,16275
"So, for the rest of his life, this poor little boy grows up thinking all women have teeth down below.
",1,8246
"Beware of what you ask of the Gods, for they may...
",1,14863
"Who has love in his heart has spurs in his sides.
",0,28332
"FOUR SIGN DEVELOPMENT AGREEMENTS WITH QUALCOMM
",0,28061
"A pessimist is a man who feels that all women are bad.
",1,15842
"Why will a woman rarely make a fool of a man? - Most of them are the do-it-yourself types.
",1,5814
"How many conservative economists does it take to change a light bulb?
",1,8710
"It's all a bit much for me after all these years as a frog.
",0,24574
"The man who does not read good books has no advantage over the man who can't read them.
",1,12441
"Two great talkers will not travel far together.
",0,16544
"Indonesia's Megawati may have deal with government.
",0,28322
"the non-linguistic context: pictures, diagrams, etc.
",0,26878
"Jaq felt profoundly glad that he had never studied in the school of Assassins.
",0,19222
"Whatever you wish, Your Honour, she replied.
",0,19530
"Amanieu de Fossat, knight, lieutenant of the senescfial of Gascony.
",0,26274
"Check the address for spelling and punctuation errors.
",1,9642
"This Vehicle Swerves and Hits Pedestrians at Random.
",1,8359
"He who takes the child by the hand, takes the mother by the heart.
",0,22139
"Except that this gripping race still offers the opportunity to dislodge its leader.
",0,17189
"An uncomplicated horse can be ruined with enough schooling.
",1,12995
"Statoil increases seismic activity.
",0,25465
"Alfacell says Onconase seen inhibiting HIV.
",0,18426
"M.G. Product Q2 shr loss widens.
",0,26501
"Boyd began to feel better and not a little smug.
",0,24548
"Most nudists are people you don't want to see naked.
",1,9184
"Grey hairs are death's blossoms.
",0,25020
"US FTC staff agree with FCC rule on LMDS licenses.
",0,30037
"Dorothy had not often felt more regret than she did that day.
",0,19383
"A wise man, a strong man.
",0,20838
"The secret to success is knowing who to blame for your failures.
",1,13430
"He that is once at sea, must either sail or sink.
",0,18637
"Do you have your own database of common phrases? Do you want us to use it on our site?
",1,8588
"Why are they called buildings, when they're already finished? Shouldn't they be called builts?
",1,6894
"Laugh-Of-The-Day.com is a registered trademark of Aurora Web. © 1997-2004 All rights reserved.
",1,1088
"There is no good reason why clothes have to match.
",1,604
"Dakota Mining in N.E. Nevada gold venture.
",0,30596
"How did a wind get down there? asked Ho.
",0,31005
"That country will I call mine which supports me, not that which gave me birth.
",0,20013
"Accidents don't just happen; they must be carelessly planned.
",1,8740
"From the boat we get to the ship.
",0,23622
"New Jokes are added all the time, check back soon!
",1,7363
"RESEARCH ALERT - Patterson Energy started.
",0,20225
"The two most abundant things in the universe, hydrogen and stupidity.
",1,10639
"Do I mind if you smoke? No. Do you mind if I FART?
",1,10998
"Rachel - amazing gravity defying breasts, can grip a tenner in her arsecheeks.
",1,15826
"Talk? How about I get out the bamboo shoots and we can stick them under our fingernails as we talk?
",1,10694
"Bang on the left side of your computer to restart Windows.
",1,8187
"Unaccustomed to wear them, he displays the breeches he has on to every one he meets.
",0,16503
"In the hollow of the mark were the bold words, Did you know.
",0,19898
"Earth first... we'll mine the other planets later.
",1,13013
"Experiments should be reproducible - they should all fail in the same way.
",1,10870
"I may see him need, but I'll not see him bleed.
",0,31340
"Liberian militia leader promises no more wars.
",0,26603
"It has some 70 inhabitants and it has no shop and no public house.
",0,16662
"The floggings will continue until morale is improved.
",1,12541
"Always remember: one good turn gets most of the blankets.
",1,4273
"Oh, what a tangled website we weave when first we practice.
",1,9586
"I am one with the universe - on a scale from one to ten.
",1,1484
"Neither women nor linen by candlelight.
",0,31756
"Finish your mail packet! Children are offline in India.
",1,7126
"ARCTOS UPS TURKISTUOTTAJAT STAKE.
",0,24327
"Knowledge is a wonderful thing - a little bit goes a long way.
",1,9806
"All of me is beautiful, even the ugly, stupid and disgusting parts.
",1,12319
"PRESS DIGEST - CENTRAL/EAST EUROPE - AUG 27.
",0,19954
"Czech PX50 index closes session 2.6 points higher.
",0,26446
"Terminal illness ........................... D.I.A.
",1,29
"Ethical dilemma: Drowning lawyer - just drive on by or stop to watch?
",1,3594
"Someone who pays an arm and a leg to break them.
",1,6860
"No matter how good she looks, some other guy is sick and tired of putting up with her crap.
",1,15702
"He who gives when he is asked has waited too long.
",0,16704
"Sister Evangelista Nite, Divine Word Institute, ,
",0,16814
"Praise yourself, basket, for I want to sell you.
",0,29811
"Designers' Saturday was transplanted from New York eight years ago.
",0,26130
"Do they know what marital tension this can cause?
",0,30396
"Kiwi Eurobonds boom as Australia, Canada lose shine.
",0,27495
"They told me I was gullible ... and I believed them!
",1,683
"How come toy hippos are always blue, or purple, when real hippos are brown?
",1,11193
"I like to go to art museums and name the untitled paintings...
",1,4240
"Real knowledge is to know the extent of one's ignorance.
",1,5961
"He talks like a sausage without the fat.
",0,28769
"If you tell the truth you don't have to remember anything.
",1,2099
"The biggest difference between men and boys is the price of their toys.
",1,13467
"He labors vainly, who endeavors to please every person.
",0,26022
"If the water passed through the pump first, you might.
",0,20494
"FORECAST- VNU H1 EARNINGS SEEN UP 10 PCT.
",0,27250
"Life is what happens to you while you are making other plans.
",1,320
"Absence is a foe to love; out of sight out of mind.
",0,25505
"Why is there no egg in eggplant nor ham in hamburger. Ever find an apple or pine in a pineapple?
",1,13863
"Bad ware must be cried up.
",0,28066
"TIP: Never do card tricks for the group you play poker with.
",1,3144
"OUTLOOK - U.S. products seen facing uphill battle.
",0,20653
"Look with suspicion on the flight of an enemy.
",0,31450
"PRESS DIGEST - New York Times front page - Aug 26.
",0,21425
"It needs a light spirit to bear a heavy fate.
",0,26522
"Kirk to Enterprise, Kirk to Enterprise! DAMN, it's BUSY!
",1,5685
"He who tells his own affairs will hardly keep secret those of others.
",0,21793
"God gives a curst one short horns.
",0,29991
"A weak mind is like a microscope. It magnifies trifling things, but cannot receive great ones.
",1,10233
"All vacations and holidays create problems, except for one's own.
",1,8375
"Policies may be understood as being interlocked with other policies.
",0,20136
"With some foreign food, the less authentic the better.
",1,6153
"Good conversation depends on how much one can afford to take for granted. - O.
",1,8511
"Striking Zimbabwe civil servants challenge sacking.
",0,23988
"You can never get rid of a bad temper by losing it.
",1,3650
"Familiarity may indeed breed contempt, but let's not forget children either.
",1,13468
"Zimbabwe's Affretair to boost winter capacity.
",0,16578
"I smile 'cause you've all finally driven me insane.
",1,530
"He who mixes himself with the draff will be eaten by the swine.
",0,19987
"A college boy delivered a pizza to an old man's house.
",1,2028
"COMICCORNER-FeaturingCartoonists!
",1,85
"Set a peasant on horseback, and he forgets both God and man.
",0,21859
"He who peeps through a hole will discover his dole.
",0,24335
"When the mouth stumbles, it is worse than the foot.
",1,316
"Kenya shilling extends gains vs dlr on exporters.
",0,24562
"Things are more like they used to be than they are now!
",1,280
"Why isn't ""palindrome"" spelled the same way backwards?
",1,15891
"It will search all my pages on the word or words you are looking for.
",1,6084
"I thought to cross myself, and I put out my eye.
",0,26452
"When the only tool you own is a hammer, every problem begins to look like a nail.
",1,3959
"If at first you don't succeed, skydiving is not your sport.
",1,12146
"Ever wonder why your gynecologist leave the room when you get undressed?
",1,12523
"You can have it if you like.
",0,29078
"Russell - likes to play in the leaves, which makes him an arsehole.
",1,4503
"Love makes labour light.
",0,20519
"A narrow neck keeps the bottle from being emptied in one swig.
",0,27359
"It's more than a reader. It's a message base manager!
",1,6155
"When you don't know what to do, walk fast and look worried.
",1,12712
"Don't wear your glasses on a blind date. You'll look better, and he will too.
",1,7434
"Nippon Engineering - 95/96 parent results.
",0,22262
"If you want to look slim, go out with fatter friends.
",1,11221
"More people are killed by donkeys annually than are killed in plane crashes.
",1,1318
"Kerry says half-year profit rise 21 percent.
",0,18235
"Sri Lanka Ceramic in rapid turnaround.
",0,26646
"Nepal won't help split Tibet, king tells China.
",0,28717
"My cat is not a chatterbox, she is advising me on what to do next.
",1,3538
"When one dog barks, another will follow suit.
",0,26322
"There's two theories to arguing with a woman. Neither one works.
",1,14283
"What is permitted us we least desire.
",0,20457
"Money talks and makes me cry, for all it says is goodbye.
",1,14407
"Southern Africa leaders join forces on trade,drugs.
",0,29956
"I'm still waiting for the Psychic Network to call ME.
",1,8688
"Internatio-Mueller sees clearly higher H2.
",0,22699
"It felt like the underside of his coffin-lid.
",0,23875
"Take time to smell the roses and eventually you'll inhale a bee.
",1,1322
"This latter then circulates the fixed nitrogen to the rest of the plant.
",0,23140
"Until then, owners and tenants beware.
",0,21495
"Keep no more cats than will catch mice.
",0,16972
"Your study will only make sense as long as your research question is hazy.
",1,2181
"At court there are many hands, but few hearts.
",0,21026
"I've never liked morticians, they all just want me for my body.
",1,164
"Three boys are in the school yard bragging about their fathers.
",1,8827
"A failure in a device will never appear until it has passed final inspection.
",1,14270
"Brazil produced more than 50,000 tonnes of tin in 1989.
",0,20946
"Though the bird may fly over your head, let it not make its nest in your hair.
",0,21204
"If you think health care is expensive now, wait till it's free.
",1,13030
"A fool, if he holds his tongue, passes for wise.
",0,21596
"FOCUS - Computer 2000 sets delayed rights issue.
",0,18506
"Anything preying on your mind would starve to death.
",1,4467
"Istanbul gold ends mixed in dormant trade.
",0,30568
"He said he was dying of fast women, slow horses, crooked cards and straight whisky.
",1,7436
"If he go up, we 'ave to look for another ringer.
",0,17527
"Tolerances will accumulate unidirectional towards maximum difficulty of assembly.
",1,2267
"The righteous man sins before an open chest.
",0,22123
"You must believe in free will; there is no choice.
",1,5594
"Great strokes make not sweet music.
",0,24487
"Catscan........................Searching for Kitty.
",1,14577
"PRESS DIGEST - HK Newspaper Editorials - Aug 20.
",0,22315
"This is the Marcel Marceau of talking birds
",0,25035
"Wanted: man to work in dynamite factory. Must be willing to travel.
",1,11411
"They said my girlfriend and I were being unrealistic.
",0,18822
"The truth of this checking account is mysterious, awkward and sad. More Transactions? Y/N?
",1,6942
"If Strike Isn't Settled Quickly, It May Last a While.
",1,7214
"Leone Pippard, Our Lady of the White Whales
",0,29584
"Chicago has them, denies copying Apple/Cupertino's round covers.
",1,13008
"But then you turn 30. Oooohh, what happened there?
",1,13844
"True love is not based on what you have, but it is based on who you really are.
",1,15681
"SOCCER-ARSENAL DIRECTORS IN ROWDY SHAREHOLDERS' MEETING.
",0,18745
"She manages to separate the boys forcibly, whereupon Victor kicks her shin.
",0,28606
"If you look like the photo on your driver's license, you aren't well enough to drive.
",1,13418
"Why is there a road sign that says Braille Institute, Next Exit?
",1,11840
"He who feeds a wolf, strengthens his enemy.
",0,19435
"USWC light crudes firm on WTI, Alaskan diffs fall.
",0,31880
"Sometimes a majority only means that all the fools are on the same side.
",1,8761
"If you try to snag a pussy at work, you get hit with sexual harassment.
",1,4802
"He who has a white horse and a fair wife is seldom without trouble.
",0,28006
"The garden must be prepared in the soul first or else it will not flourish.
",0,30496
"We both thought the arrangements were excellent.
",0,16017
"Two things are sure in life: There is a God, and you are not him.
",1,13555
"To good eating belongs good drinking.
",0,27010
"People show their character by what they laugh at.
",0,23045
"When you are there alone, everyone will come and they will be impatient.
",1,10535
"Istanbul gold trade booms amid free market demand.
",0,22281
"U.S. soyoil weekly export sales highlights -- USDA.
",0,25424
"Asia gas oil, jet fuel overpriced, correction seen.
",0,20076
"My dick is 12 inches long but I dont tend to use it as a rule.
",1,11220
"When fortune's chariot rolls easily, envy and shame cling to the wheels.
",0,30198
"Dictators ride to and fro upon tigers which they dare not dismount.
",0,25634
"Egypt raises Sept crude prices by 5 to 15 cents.
",0,30200
"Neither serve one who has been a servant, nor beg of one who has been a beggar.
",0,31123
"No one is around, so he starts searching for the source.
",1,5767
"We can hug our friends without wondering if she thinks we're gay.
",1,1113
"A penny will hide the biggest star in the universe if you hold it close enough to your eye.
",1,9516
"You can go now Mrs .
",0,22216
"Infants don't enjoy infancy like adults do adultery.
",1,1369
"By the next day the word has spread and a throng has gathered around the grave.
",1,12857
"There are 3 types of people: those who can count and those who can't.
",1,15557
"It's hard to be humble when you're having so much fun.
",1,8902
"Nigerian blue chip shares rise in quiet trade.
",0,29816
"ALL LINES FROM ATLANTA ARE BUSY
",0,23585
"Between two evils, I always pick the one I never tried before. -Mae West.
",1,6735
"Covet wealth, and want it; don't, and luck will grant it.
",0,19646
"The 2 most common elements in the universe are hydrogen and stupidity.
",1,9959
"Beware of a white Spaniard and a black Englishman.
",0,17778
"I cannot think, remarked Russell, Why laziness should have had such a bad press.
",0,22497
"Handy guide to modern science: If it's green or wriggles, it's biology.
",1,12000
"She felt gooseflesh rising up all over her.
",0,20412
"One Step Beyond The Night Gallery into The Outer Limits of The Twilight Zone.
",1,12311
"Sevareid's Law: The chief cause of problems is solutions.
",1,6764
"The more I learn, the more I realize I have to learn.
",1,7385
"If ""clothes maketh the man"" then it follows that naked people have little or no influence on society.
",1,6589
"A woman conceals what she knows not.
",0,20793
"OPEC basket price stood at $20.00 on Wednesday.
",0,24019
"Bad: Your children are sexually active. Worse: With each other.
",1,6275
"Why don't you try practicing random acts of intelligence and senseless acts of self-control?.
",1,14096
"Make your mark in the world, or at least spray in each corner.
",1,10577
"Copyright © 2000-2003 PlanetADND.com - All Rights Reserved.
",1,7405
"He does not live in this world that can skin a grindstone.
",0,23909
"Your overheads and siren will only fail during a pursuit.
",1,12231
"Warning! This organism suffers from dangerous mood swings.
",1,9490
"If you are short of everything but the enemy, you are in the combat zone.
",1,11188
"Aegon shares up on first half results.
",0,24305
"Took an hour to bury the cat, wouldn't hold still...
",1,7775
"But how many people even knew what a cellular phone was seven years ago.
",0,16958
"From trifling causes great results arise.
",0,26693
"Just remember. . . . if the world didn't suck, we'd all fall off.
",1,4580
"Please let me know if you don't receive this message.
",1,1402
"Doesn't a single Unix source technology sound like a good idea?
",0,21161
"Do I have to spell out to you how important this is to me?
",0,27785
"IN A YUGOSLAVIAN HOTEL: The flattening of underwear with pleasure is the job of the chambermaid.
",1,12766
"Military intelligence is a contradiction in terms.
",1,12022
"You may shut your doors against a thief, but not against a liar.
",0,30227
"The world would run a lot smoother if more men knew how to dance.
",1,7222
"Indian opposition walks out over pilgrims' deaths.
",0,27076
"Elephant: a mouse built to government specifications.
",1,6455
"Western Cornbelt hogs carcass close - USDA.
",0,25876
"I'd be counting the days now, if I hadn't got parole.
",0,21709
"In old houses many mice, in old furs many lice.
",0,22956
"Unminded, unmoaned.
",0,25848
"A number of initiatives have been undertaken to raise local awareness about environmental issues.
",0,17791
"A man finds his wife in bed with another man. What are you doing? he yells.
",1,11744
"U.S. Farm Credit sets rates on $2.025 bln bonds.
",0,29448
"They give milk...and cookies, but I don't recommend the cookies.
",1,2334
"Great Rules for writing from William Safire in the New York Times.
",1,14999
"Micron shares off with DRAM prices falling.
",0,21081
"Carl - thinks he's funny...he's not, falls asleep during sex.
",1,9229
"Hanoi to get tough with import-export tax dodgers.
",0,28489
"Just because you're paranoid doesn't mean the whole world really isn't out to get you.
",1,1846
"When I played in the sandbox the cat kept covering me up.
",1,3662
"They are too young to remember the space shuttle blowing up.
",1,7496
"Per vedere il multitasking su un PC esegui 2 volte PC-Task su Amiga !
",1,11406
"Smile! It makes people wonder what you've been up to.
",1,2128
"Children Should Be Seen And Not... Spanked Or Grounded.
",1,10011
"Errare e' umano, ma per incasinare tutto serve un PC.
",1,5253
"MOBILE DATACOM APPLIES FOR SATELLITE LICENCE
",0,21477
"Oneliners are irrelevant if you don't understand them.
",1,9559
"Do not ask questions of fairy tales.
",0,31400
"This isn't hell. This is where you get sent when you've been bad in hell.
",1,11693
"The sky is not the less blue because the blind man does not see it.
",0,29181
"Spill chequers dew knot awl weighs wok ass wee eggs peck.
",1,6814
"If a cat becomes radioactive, will it now have 18 half lives?
",1,12027
"U.S. HEADLINE STOCKS - Issues to watch - Aug 20.
",0,18276
"You never know what real happiness is until you get married, and then it is too late.
",1,4830
"The woman cries before the wedding and the man after.
",0,17531
"Schiphol shows top Euro-cargo growth in Jan-July.
",0,29658
"There's one in every crowd and they always find me.
",1,6751
"First of all, let's review the construction of this scale
",0,27907
"WARNING! PLEASE READ IMMEDIATELY! THIS IS SERIOUS!
",1,6886
"There is someone out there watching over us...the government.
",1,15497
"There are never enough hours in a day, but always too many days before Saturday.
",1,6776
"One who enters a forest does not listen to the breaking of the twigs in the brush.
",0,31059
"Don't try to have the last word; you might get it.
",1,10532
"You won't worry if I don't reply, will you?
",0,18249
"Whenever people agree with me I always feel I must be wrong.
",1,7159
"Net earnings per share amounted to 0.01 in the quarter.
",0,17142
"He keeps watch over a good castle who has guarded his own constitution.
",0,29716
"Misery no longer loves company; nowadays it insists on it.
",1,5632
"When you meet a man, you judge him by his clothes; when you leave, you judge him by his heart.
",0,21216
"True happiness may be sought, thought, or caught -- but never bought.
",1,10941
"Money is round, it must roll.
",0,26371
"He couldn't get any because he couldn't throw his dog high enough.
",1,13738
"What do you get when you cross an elephant with a rhino? Elephino.
",1,252
"Believing the ""lie detector"" was working, the suspect confessed.
",1,7476
"Even the fool says a wise word sometimes.
",0,20227
"He loses his market who has nothing to sell.
",0,17714
"How quickly with all is a kindness forgotten!
",0,21366
"There weren't any letters this morning, said Bobbie.
",0,26492
"If you ain't makin' waves, you ain't kickin' hard enough!
",1,15704
"I used to think I was indecisive, but now I'm not so sure.
",1,13872
"Wonder is the beginning of wisdom.
",0,31341
"Greed captures the essence of the evolutionary spirit.
",1,15797
"Both are the better for their mutual friendship.
",0,30092
"Why don't you leave me alone?
",0,17294
"A wishbone has never taken the place of a backbone.
",1,12200
"Never slap a child in the face - there are plenty of other places.
",1,13216
"The rosier the news, the higher the rank of the official who announces it.
",1,11852
"Remember: in just two days, tomorrow will be yesterday.
",1,11201
"If he were any more stupid, he'd have to be watered twice a week.
",1,8637
"Ignorance or apathy? I don't know and I don't care.
",1,1829
"He can do but little who cannot threaten another.
",0,21652
"Beauty carries its dower in its face.
",0,25587
"The course of true love never did run smooth.
",0,23460
"You'll know dinner's ready when the smoke alarm goes off.
",1,9025
"A puff of wind and popular praise weigh alike.
",0,28669
"If you can't live without me, why aren't you dead?
",1,9051
"Does the panel agree that we are not communicating effectively?
",0,18643
"Bronsen - annoying and never grows up - has a stupid name.
",1,6358
"Moody's raises Bloomingdale, Ill., bonds to Aa.
",0,19683
"US Government philosophy: If it ain't broke, fix it 'til it is.
",1,11759
"Run into the computer lab, shout Armageddon is here!!!, then calmly sit down.
",1,8224
"Child (whisper): No, he's busy, whispered the child.
",1,15883
"Every man to his own straw basket full of apples.
",0,30056
"RTRS-AUSTRALIAN P-NOTES - One tender of A$15 mln.
",0,21588
"In their feet. Because when they stand on you, you're fucked.
",1,300
"If I Can't Be Number One In Your Life, Then Number Two On You.
",1,8907
"Can't sleep, clown will eat me; Can't sleep, clown will eat me......
",1,7664
"If at first you don't succeed, ignore the docs...
",1,3600
"The smallest good deed is better than the grandest good intention.
",0,19273
"Help stamp out and eradicate superfluous redundancy.
",1,4062
"Add the LM remedy to your bottle this is now your STOCK BOTTLE.
",0,19229
"You can fool too many of the people too much of the time.
",1,5992
"Hanging and wiving go by destiny.
",0,27550
"Illegal error detected - You are not allowed to get this error.
",1,10349
"The sluggard will not plough by reason of the cold; therefore shall he beg in harvest, and have nothing.
",0,23021
"An apple every 8 hours will keep three doctors away.
",1,7099
"Don't knock President Fillmore - he kept us out of Vietnam.
",1,4837
"That night, the door bell rings, the bloke opens the door and his mate introduces him to his blind date.
",1,2291
"Much taste, much waste.
",0,18577
"Keeping to time on Welsh Coast specials
",0,25964
"The dead open the eyes of the living.
",0,19880
"I have not whined, bitched, cursed, or eaten any chocolate.
",1,1157
"It was something that he would have to find out.
",0,31636
"No problem is so formidable that you can't just walk away from it.
",1,3224
"Yes... Threepio... I built him... when I was 7 years old...
",1,2711
"YPF says Maxus Ecuador operations working normally.
",0,25123
"I bought some dehydrated water, but I don't know what to add to it.
",1,1238
"Whenever you learn all the answers, they change all the questions.
",1,7120
"Among ten matchmakers only nine will lie.
",0,26331
"Russian non-CIS H1 aluminium exports rise 31 pct.
",0,23411
"Power does not corrupt fools, but fools corrupt power.
",1,3651
"Chateau says gets unsolicited bid from Sun.
",0,22129
"I sounds like English, but I can't understand a word you're saying.
",1,14384
"But beyond them lies a more troubling general question.
",0,30054
"RTRS-Path seen clear for silver to trade higher.
",0,18566
"No man can swim ashore and carry his baggage with him.
",0,19181
"F.O. LICHT - Daily sugar report.
",0,17023
"Fortune to one is mother, to another step-mother.
",0,16939
"Shhhh! And don't tell the men from the asylum that you saw me here.
",1,1123
"In England there are 60 religions and 3 sauces.....
",1,14026
"If a mime is arrested, is s/he told s/he has the right to remain silent?
",1,4769
"Creativity is the art of concealing your sources.
",1,15579
"NASD to accuse brokers over tests - WSJ.
",0,31438
"Airport Systems gets $1.2 mln in contracts.
",0,24085
"RESEARCH ALERT - Ohio Edison said raised.
",0,30173
"You should always write your name on your underwear. See, I'm Machine Wash Cold.
",1,8064
"Dyslexics. Try deliberately spelling words wrongly. This way at least you have a chance of spelling them correctly.
",1,15845
"Gentility is without ability is worse than plain beggary.
",0,28888
"McLaren F1 team to switch sponsors after 23 years.
",0,24359
"PCA Intl sets qtly dividend $0.07/shr.
",0,20891
"Beware of the man of two faces.
",0,21726
"Here lies my wife, I bid her goodbye. She rests in peace and now so do I.
",1,4839
"A fair promise binds a fool.
",0,27450
"A mild case of mood poisoning, must be something I hate.
",1,13133
"Why do women always do their make up at the lights?
",1,8156
"Never make anything simple and efficient when it can be complex and wonderful.
",1,11286
"Closing stock market indices.
",0,31701
"The only problem with the gene pool is that there is no life guard.
",1,14161
"When money talks, nobody pays any attention to the grammar.
",1,6716
"German building sector urges new minimum wage deal.
",0,23792
"IN A HONG KONG SUPERMARKET: For your convenience, we recommend courteous, efficient, self-service.
",1,12460
"It has a light and dark side, and it holds the universe together.
",1,882
"SOFTWARE SALES PEOPLE ship the first thing they catch and write up an invoice for an elephant.
",1,4771
"Six of one, and half a dozen of the other.
",0,31650
"If youd like your house to be clean, invite someone to dinner.
",1,13003
"Doing little things well is a step toward doing big things better.
",1,12740
"You may often feel that heavily on your back which you took lightly on your conscience.
",0,17652
"Why did Mr. Mrs. Howell pack so much clothing for a three hour tour?
",1,2777
"The smoke of my own house is better than another man's fire.
",0,18377
"God help the rich, the poor can beg.
",0,28182
"Nippon Ceramic - 1996 group forecast.
",0,21447
"An old man in love is like a flower in winter.
",0,20345
"SHELL CDA raises Canada light oil prices.
",0,29949
"The wood is burnt, but the ashes are a nuisance.
",0,26780
"I mean it's such a very small people isn't it?
",0,19360
"The Weakest Link: What insect is commonly found hovering above lakes?
",1,12133
"It's no use locking the stable door after the horse has bolted.
",0,30968
"Did you know they took the word gullible out of the dictionary?
",1,10423
"Apathetics of the world, unite, if you can be bothered.
",1,11009
"Britain is blamed by China for HK fears
",0,26086
"I escaped from a political correction facility...
",1,2834
"Depression is merely anger without the enthusiasm.
",1,1078
"Unix is user friendly - it's just picky about it's friends.
",1,15079
"Well, why don""t you nibble on some of my droppings?"" replied the bull. ""They""re packed with nutrients"".
",1,5567
"When the blind leadeth the blind, get out of their way.
",1,4098
"No day is wholly productive of evil.
",0,18679
"The world's gone to the dogs, the fleas are in charge.
",1,4068
"You no longer drink at home to save money before going to a bar.
",1,10657
"Wellhung: I'm dropping the bra. Now I'm licking your, you know, breasts. They're neat!
",1,879
"As we glanced at each other, we shuddered with apprehension.
",0,26658
"Typhoon gaining strength in South China Sea - WSC.
",0,30973
"If you're trying to drive me crazy, you're too late.
",1,2436
"The dogs bite the last.
",0,28213
"Is it too late to go back?
",0,27287
"I'm too smart to let my intelligence go to my head.
",1,872
"If a program is useful it will be changed, if it is useless, it will be documented.
",1,1866
"Open your eyes to the prospects today the prospects for profit.
",0,20556
"I heard you were so cool that you began teaching remedial classes at Cucumber college.
",1,15053
"The Pope urges that students in seminaries should be taught about sex in seminaries.
",0,25482
"If you want enemies, excel your friends; if you want friends, let your friends excel you.
",1,10894
"Creating colourful combinations in your garden.
",0,17356
"Sleep has no master.
",0,24593
"Type frantically, often stopping to look at the person next to you, evilly.
",1,9549
"And like that I can feel John around here
",0,19600
"The more work you have to get done, the more likely it is to rain.
",1,14901
"Nampa, Idaho, Urban Agency revs 5.392 pct in 2005.
",0,28079
"Bad: Your husband's a crossdresser. Worse: He looks better than you.
",1,13851
"A neighbourhood patrol can thus assume the proportions of an armed convoy.
",0,17979
"RTRS-ASX starts CHESS settlement system phase two.
",0,24970
"What two things in the air cause a blonde to become pregnant.....................Her Feet !!!
",1,15566
"Careful application of terror is also a form of communication.
",1,3524
"Car sickness is the feeling you get when the monthly car payment is due.
",1,7767
"NOW, A PHOTO OF JUST THE TWO OF YOU, MR WYATT
",0,29758
"One good thing about forgetting is that you can no longer worry about what ever it was you forgot.
",1,14014
"Sweet, smooth and they usually head right for your hips.
",1,1393
"Dated Brent trades at lower Sept Brent minus 5 cts.
",0,22357
"Dear School: Please exscuse John being absent on Jan. 28, 29,30, 31, 32, and also 33.
",1,9055
"Let the dead bury the dead.
",0,27437
